Zip Code,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
98116,4.2%,5.7%,4.7%,4.4%,3.9%,4.3%,2.7%,2.9%,2.7%,3.5%
98117,4.7%,5.3%,4.9%,4.7%,4.8%,4.6%,4.1%,4.3%,3.8%,3.4%
98118,11.1%,11.1%,10.7%,10.9%,9.8%,8.6%,8.0%,6.9%,6.3%,4.7%
98119,5.0%,5.6%,5.9%,5.1%,4.8%,4.4%,3.5%,3.1%,3.4%,4.2%
98121,6.0%,5.4%,5.9%,4.4%,4.4%,4.5%,4.1%,3.6%,3.5%,3.6%
98122,6.2%,6.4%,6.7%,6.5%,4.9%,3.7%,3.5%,3.9%,4.3%,5.1%
98125,6.0%,6.3%,7.8%,6.6%,6.3%,7.0%,5.5%,5.6%,5.4%,4.5%
98126,7.8%,7.1%,7.4%,5.6%,4.7%,4.8%,4.7%,4.0%,4.1%,4.8%
98133,7.9%,9.6%,9.9%,9.2%,6.9%,6.3%,4.6%,3.7%,3.5%,3.1%
98134,10.9%,21.3%,28.7%,24.4%,17.9%,13.6%,6.2%,1.9%,5.1%,10.6%
98136,5.9%,4.6%,5.2%,5.0%,3.7%,3.1%,2.6%,2.4%,1.8%,2.5%
98144,6.7%,7.3%,7.0%,6.7%,5.0%,4.2%,4.1%,3.8%,3.8%,3.7%
98146,8.9%,8.6%,9.4%,9.3%,7.6%,6.2%,6.1%,5.0%,4.2%,3.9%
98148,6.7%,7.3%,7.9%,8.8%,5.8%,4.3%,5.3%,5.7%,5.5%,5.8%
98155,7.6%,9.7%,10.2%,9.8%,8.2%,7.0%,5.2%,4.5%,4.0%,4.7%
98164,0.0%,44.8%,22.8%,23.2%,17.4%,16.0%,0.0%,0.0%,0.0%,0.0%
98166,5.7%,7.2%,7.6%,6.5%,5.6%,5.1%,6.5%,5.3%,5.9%,6.2%
98168,12.5%,12.7%,12.4%,11.2%,8.6%,7.1%,8.0%,7.4%,8.0%,7.4%
98177,6.0%,6.9%,6.6%,4.8%,5.0%,3.9%,3.3%,3.2%,3.1%,3.0%
98178,9.4%,9.8%,9.0%,7.7%,5.8%,5.6%,4.5%,4.2%,3.7%,4.7%
98188,7.8%,8.3%,9.3%,9.4%,8.5%,5.6%,5.0%,4.2%,5.1%,4.8%
98198,7.1%,8.7%,10.5%,9.2%,7.5%,6.7%,5.6%,5.6%,5.7%,6.6%
98199,5.4%,5.5%,5.7%,4.9%,4.1%,4.3%,3.6%,3.4%,3.2%,3.2%
98224,10.3%,14.6%,18.9%,18.6%,19.6%,8.6%,14.2%,10.4%,22.0%,13.0%
98288,13.2%,9.6%,13.3%,16.4%,15.1%,10.5%,5.3%,0.0%,0.0%,0.0%
98321,8.0%,10.2%,9.4%,8.9%,8.0%,7.1%,5.6%,5.0%,3.5%,3.7%
98323,7.3%,9.7%,13.4%,13.5%,14.0%,12.2%,9.4%,8.0%,6.3%,4.3%
98354,8.3%,9.6%,9.6%,7.7%,5.0%,5.3%,5.1%,4.1%,4.4%,5.1%
98391,7.9%,8.3%,7.8%,7.8%,6.5%,5.7%,4.4%,3.5%,3.2%,3.5%
