ZipCode,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
98019,62000.0,81400.0,50000.0,59025.0,63952.0,84950.0,91500.0,100200.0,163066.5,130000.0,163700.0,160450.0,173283.0,179437.5,187251.0,223995.0,226250.0,255500.0,269133.5,254975.0,291000.0,327500.0,325000.0,375000.0,419950.0,470000.0,419750.0,365950.0,382000.0,312000.0,314995.0,386031.0,380800.0,435000.0,469500.0,550000.0,605375.0,625000.0,675000.0,822497.5,917500.0
98021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290225.0,,,,,,,,,,
98022,69950.0,68000.0,65000.0,68500.0,80000.0,87500.0,79700.0,107000.0,110450.0,119550.0,123080.0,129000.0,143000.0,140000.0,135000.0,140000.0,154700.0,169925.0,178000.0,185000.0,191500.0,215000.0,229250.0,265000.0,285000.0,315000.0,284200.0,246500.0,246700.0,231127.5,230500.0,235975.0,262500.0,289500.0,325000.0,344500.0,360000.0,419500.0,447000.0,530000.0,615000.0
98023,83000.0,81950.0,79970.0,82950.0,85000.0,93375.0,99900.0,106400.0,134950.0,143000.0,131950.0,135000.0,137000.0,137000.0,144000.0,149975.0,158000.0,167950.0,179000.0,187000.0,198000.0,212750.0,239000.0,269500.0,307500.0,326000.0,300000.0,251000.0,245000.0,199950.0,199900.0,227000.0,247000.0,278100.0,315000.0,350000.0,378000.0,405000.0,449975.0,550000.0,615000.0
98024,71250.0,65000.0,104500.0,78500.0,76000.0,94500.0,92250.0,134950.0,171500.0,157475.0,160000.0,169000.0,181000.0,206950.0,170500.0,225000.0,244225.0,276000.0,328000.0,295000.0,329950.0,322000.0,380000.0,445000.0,485000.0,549000.0,499950.0,451000.0,408500.0,375000.0,395000.0,444500.0,447500.0,480000.0,550500.0,628000.0,664000.0,785000.0,870000.0,915000.0,1205000.0
98025,,,,,,,,,,,,,,,,,,,,,,,,,865614.0,,,,,,,,,,,,,,,,
98026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437000.0,,,,,,
98027,115826.0,116500.0,115000.0,110000.0,122000.0,131150.0,133953.0,160000.0,210000.0,200000.0,195250.0,200000.0,224000.0,229500.0,245000.0,251900.0,280000.0,310000.0,325000.0,324990.0,339950.0,378425.0,436000.0,470275.0,590000.0,632500.0,586000.0,496500.0,518375.0,450000.0,466250.0,505000.0,565000.0,605500.0,660000.0,762500.0,835000.0,805000.0,885000.0,1075000.0,1430000.0
98028,88750.0,80000.0,81500.0,89950.0,86250.0,95000.0,104950.0,129950.0,159199.0,157000.0,155000.0,159000.0,176250.0,170400.0,179900.0,185000.0,214250.0,222500.0,249000.0,262000.0,268000.0,299475.0,335000.0,388975.0,429950.0,442500.0,427250.0,358000.0,355000.0,343000.0,348000.0,388850.0,424750.0,479900.0,525000.0,634400.0,683171.0,648500.0,771750.0,915000.0,920000.0
98029,133000.0,105000.0,181500.0,112950.0,119500.0,143950.0,136732.0,154990.0,232725.0,209000.0,207500.0,211260.5,217990.0,220000.0,229500.0,249900.0,271500.0,287500.0,305000.0,324000.0,338000.0,353500.0,415000.0,449000.0,559975.0,599355.0,550000.0,490000.0,464872.0,448500.0,467500.0,525000.0,590000.0,650000.0,738000.0,855000.0,892500.0,849250.0,934500.0,1269000.0,1697500.0
98030,72000.0,76825.0,73000.0,83955.0,82000.0,84950.0,94225.0,105950.0,124575.0,128975.0,135950.0,135250.0,143500.0,138000.0,149950.0,162250.0,171000.0,189950.0,205000.0,213000.0,218975.0,225637.5,244450.0,283750.0,325000.0,340000.0,305300.0,257500.0,235000.0,207000.0,209000.0,246500.0,263750.0,288000.0,325000.0,365000.0,395500.0,417000.0,458000.0,570000.0,665000.0
98031,75000.0,79250.0,77000.0,78200.0,79000.0,81500.0,93500.0,105000.0,145000.0,137500.0,144150.0,140950.0,145000.0,144970.0,147900.0,152500.0,168500.0,180000.0,193000.0,207000.0,209950.0,224000.0,249950.0,283000.0,342517.5,350000.0,305000.0,260000.0,241000.0,212000.0,210000.0,242000.0,265000.0,295000.0,333100.0,370000.0,412500.0,428250.0,470000.0,566500.0,650000.0
98032,75000.0,86500.0,75000.0,72000.0,69500.0,81000.0,87750.0,85000.0,112250.0,124000.0,117500.0,125975.0,125500.0,129949.5,126900.0,129500.0,140700.0,157000.0,170000.0,181685.0,185500.0,189500.0,217775.0,253250.0,285000.0,310000.0,275000.0,228500.0,217387.0,172000.0,160500.0,213000.0,230593.0,265000.0,299950.0,340000.0,375500.0,380000.0,433725.0,510000.0,600000.0
98033,84000.0,81174.0,88000.0,87500.0,95500.0,89250.0,110000.0,128500.0,179000.0,175000.0,173950.0,171700.0,181900.0,199250.0,210000.0,227000.0,255950.0,283000.0,309500.0,325000.0,357990.0,389950.0,440000.0,530000.0,608000.0,660000.0,624000.0,555000.0,530000.0,528000.0,542000.0,612000.0,633375.0,725000.0,811000.0,960000.0,1148000.0,1166000.0,1297000.0,1600000.0,1795000.0
98034,79000.0,81870.0,81000.0,78500.0,86000.0,86225.0,90022.0,116225.0,159950.0,152250.0,147000.0,150000.0,159999.0,160000.0,167950.0,182000.0,206000.0,229950.0,240000.0,250000.0,264500.0,284000.0,315000.0,365000.0,422000.0,450000.0,420000.0,365000.0,367500.0,340000.0,348500.0,412250.0,439000.0,467750.0,548000.0,650000.0,730000.0,710000.0,777500.0,975000.0,1325000.0
98035,,,,,,,,,,,,,,85000.0,,,,,,,,145000.0,,,209000.0,,,147000.0,,,,,,,,,,,,,
98038,87500.0,74600.0,83500.0,90000.0,95325.0,94987.5,95950.0,121350.0,153975.0,141250.0,142400.0,145950.0,155900.0,161950.0,164000.0,168937.5,189500.0,198000.0,219950.0,225073.0,238245.0,250000.0,270000.0,334500.0,389950.0,380500.0,357259.0,304850.0,285030.0,271530.0,265000.0,299990.0,335000.0,360000.0,390000.0,440000.0,487500.0,485000.0,531000.0,690000.0,785625.0
98039,340000.0,193250.0,154050.0,185404.0,216000.0,210000.0,220000.0,349000.0,412475.0,545950.0,449400.0,337500.0,455000.0,379000.0,535000.0,512250.0,628250.0,780000.0,750000.0,1000000.0,796000.0,875000.0,1025000.0,1592500.0,1395500.0,2195000.0,1431500.0,1312500.0,1162500.0,1250000.0,1450000.0,1580000.0,2193865.0,1950000.0,1825000.0,2635000.0,2491500.0,2720000.0,3425000.0,4000000.0,3812500.0
98040,138000.0,138850.0,163250.0,150000.0,165250.0,179000.0,196500.0,269000.0,389000.0,338944.0,307500.0,300000.0,332000.0,360000.0,372000.0,425000.0,453475.0,575000.0,614000.0,611250.0,610000.0,661500.0,715000.0,875000.0,920000.0,1002500.0,966000.0,817000.0,829500.0,800000.0,832500.0,900000.0,1000000.0,1110000.0,1271500.0,1435000.0,1530750.0,1525000.0,1625000.0,2005000.0,2420000.0
98042,69950.0,92175.0,87475.0,84975.0,88335.0,88900.0,90000.0,109950.0,140970.0,132000.0,127500.0,132000.0,142950.0,146475.0,157500.0,169250.0,168000.0,179000.0,198750.0,210000.0,231950.0,247975.0,265000.0,297094.5,329000.0,347684.5,325000.0,267000.0,260000.0,234250.0,230000.0,259975.0,265000.0,300000.0,340000.0,376750.0,410000.0,438000.0,490000.0,599925.0,712500.0
98043,,,,,,,,,,,,,,,,,,,,,,,,,,437515.0,,,,,,562000.0,,389950.0,,,,,,,
98044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5800000.0,
98045,55000.0,65000.0,64500.0,61950.0,65175.0,70000.0,72500.0,93081.0,136375.0,135000.0,140750.0,149725.0,156500.0,160000.0,198700.0,233592.0,245939.0,223500.0,250750.0,242250.0,250000.0,253000.0,293950.0,331575.0,381400.0,423000.0,382500.0,353250.0,375000.0,295000.0,286000.0,319250.0,340000.0,379000.0,440500.0,535537.0,597850.5,666000.0,750000.0,890525.0,1015000.0
98047,59700.0,59000.0,65975.0,52125.0,66975.0,64000.0,78200.0,82900.0,102200.0,100000.0,113950.0,116500.0,122500.0,117500.0,127500.0,128000.0,134000.0,143000.0,152850.0,166500.0,179950.0,185500.0,199800.0,220000.0,270000.0,274950.0,260500.0,192675.0,191000.0,160000.0,150000.0,187500.0,210869.0,204900.0,226500.0,287500.0,312000.0,331500.0,395000.0,460000.0,525000.0
98050,,74000.0,,,121250.0,62500.0,189900.0,108000.0,82500.0,182000.0,88000.0,146250.0,442500.0,260000.0,140000.0,197000.0,337800.0,279000.0,237000.0,242500.0,340000.0,269500.0,258950.0,540000.0,474500.0,560000.0,833750.0,410000.0,285000.0,492500.0,340000.0,450000.0,451000.0,351000.0,662500.0,553500.0,592500.0,650000.0,708200.0,750000.0,555000.0
98051,85000.0,,74500.0,83500.0,83000.0,76000.0,117300.0,106000.0,139500.0,120500.0,142000.0,146500.0,163001.0,164000.0,180000.0,170500.0,197500.0,200000.0,241500.0,221000.0,308950.0,301500.0,395000.0,385000.0,468450.0,399950.0,308375.0,310000.0,359754.5,287000.0,334000.0,280000.0,392500.0,412253.0,425000.0,475000.0,557000.0,580475.0,620000.0,847500.0,637500.0
98052,90000.0,94450.0,105000.0,107500.0,108242.5,110500.0,124950.0,147750.0,217000.0,185000.0,182250.0,182000.0,190000.0,195000.0,211500.0,235000.0,260000.0,277750.0,301000.0,324903.0,347607.5,357000.0,404189.0,476500.0,565000.0,597000.0,559000.0,500000.0,475000.0,450000.0,485000.0,540500.0,583750.0,638500.0,710000.0,849900.0,900000.0,881000.0,980000.0,1320000.0,1600000.0
