Zip Code,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
78712,33.3%,20.4%,15.9%,10.4%,17.6%,22.2%,23.3%,23.4%,33.7%,32.1%
78719,10.9%,15.1%,12.4%,4.5%,3.7%,4.0%,1.7%,1.5%,2.2%,2.7%
78721,13.5%,15.8%,14.9%,17.3%,14.8%,10.8%,9.3%,6.3%,4.3%,4.7%
78722,6.5%,7.8%,7.8%,7.4%,6.2%,3.7%,2.5%,2.7%,3.2%,5.7%
78723,10.3%,9.8%,9.1%,9.2%,7.7%,6.2%,4.9%,4.4%,3.2%,3.3%
78724,7.8%,7.8%,8.4%,7.7%,6.3%,6.0%,6.1%,5.4%,6.2%,8.1%
78725,10.6%,8.6%,6.1%,8.2%,3.0%,3.7%,3.9%,2.4%,2.1%,1.2%
78726,4.3%,3.9%,5.9%,5.6%,4.8%,4.0%,3.8%,2.5%,2.5%,3.2%
78727,5.6%,5.6%,5.3%,4.0%,3.9%,3.8%,3.9%,4.5%,4.9%,5.6%
78728,6.3%,5.5%,6.4%,4.8%,4.3%,3.7%,2.8%,3.7%,3.9%,2.8%
78729,6.2%,6.7%,5.7%,5.6%,3.8%,3.5%,2.8%,3.8%,4.6%,3.3%
78730,3.2%,3.5%,4.3%,4.6%,4.3%,4.0%,3.0%,2.7%,2.0%,2.9%
78731,4.0%,3.8%,4.2%,4.5%,3.8%,3.8%,3.3%,2.8%,2.2%,4.1%
78732,4.9%,5.1%,5.6%,3.6%,5.2%,5.0%,3.9%,2.2%,1.8%,4.3%
78733,2.7%,4.1%,4.4%,5.5%,5.1%,4.1%,2.9%,4.3%,2.7%,2.6%
78734,4.9%,7.0%,7.5%,6.7%,6.1%,6.4%,4.5%,3.8%,5.3%,5.2%
78735,3.7%,3.8%,5.0%,5.3%,4.4%,4.6%,3.9%,3.8%,2.7%,5.5%
78738,5.4%,5.8%,7.3%,6.7%,6.3%,5.0%,4.7%,3.3%,2.4%,2.3%
78739,2.4%,3.7%,4.5%,3.7%,4.8%,4.5%,3.4%,2.4%,2.5%,1.8%
78741,8.0%,9.1%,9.9%,8.6%,8.3%,6.7%,5.3%,4.4%,4.3%,3.7%
78742,15.3%,10.6%,16.9%,8.3%,7.5%,4.9%,4.3%,3.3%,1.1%,0.0%
78744,8.0%,9.4%,8.8%,8.0%,7.0%,6.4%,4.6%,4.6%,4.9%,5.4%
78745,7.4%,7.4%,7.7%,7.1%,6.1%,5.7%,4.7%,3.9%,3.3%,2.9%
78746,3.9%,4.4%,4.3%,3.9%,3.8%,3.7%,3.6%,3.9%,3.2%,3.2%
78747,6.5%,7.6%,5.6%,4.7%,3.2%,2.9%,3.1%,4.9%,5.3%,5.2%
78748,5.1%,6.1%,7.5%,6.0%,4.8%,4.5%,3.6%,2.6%,2.5%,3.9%
78749,3.2%,3.8%,4.0%,5.3%,4.9%,5.2%,4.9%,4.6%,3.1%,5.0%
78750,6.1%,6.0%,6.6%,7.0%,7.5%,6.3%,6.7%,6.1%,5.2%,5.7%
78751,7.9%,8.8%,8.9%,9.0%,6.8%,5.9%,4.9%,4.0%,3.9%,4.4%
78752,8.9%,9.2%,8.5%,7.8%,7.2%,5.9%,4.3%,4.9%,4.5%,3.4%
78753,8.9%,8.8%,8.8%,7.4%,5.7%,5.4%,5.1%,4.9%,4.7%,4.7%
78754,6.1%,8.6%,8.9%,9.5%,9.2%,8.6%,7.0%,5.3%,3.9%,4.3%
78756,4.6%,3.7%,2.3%,2.2%,2.4%,2.1%,1.2%,1.3%,1.4%,1.2%
78757,5.5%,5.8%,4.9%,4.5%,3.7%,3.2%,2.6%,2.0%,3.0%,4.9%
78758,9.4%,9.9%,9.6%,8.9%,7.6%,5.3%,4.5%,4.0%,3.9%,5.2%
78759,6.2%,6.6%,6.9%,6.2%,6.0%,4.7%,4.2%,3.8%,3.7%,5.2%
76511,8.6%,7.9%,7.2%,15.7%,10.4%,10.8%,7.6%,5.6%,2.1%,1.6%
76530,14.0%,12.9%,12.1%,12.3%,7.8%,5.2%,5.2%,1.7%,4.8%,5.3%
76537,6.7%,3.2%,4.6%,4.4%,4.3%,2.9%,3.6%,2.8%,2.8%,2.5%
76573,29.7%,51.6%,100.0%,76.2%,77.3%,50.0%,0.0%,0.0%,0.0%,0.0%
76574,13.8%,12.3%,13.4%,10.7%,10.2%,6.5%,5.4%,4.2%,5.1%,6.0%
76577,6.9%,8.2%,10.0%,9.5%,9.6%,9.7%,6.4%,3.5%,3.9%,3.1%
76578,6.6%,11.2%,12.8%,12.3%,16.4%,13.5%,10.2%,7.0%,9.1%,6.3%
78626,6.8%,6.9%,6.6%,5.5%,5.5%,5.3%,4.7%,5.0%,6.3%,5.8%
78628,5.9%,7.5%,7.3%,7.4%,4.9%,5.5%,4.6%,5.0%,4.6%,6.6%
78633,5.1%,5.0%,6.5%,7.2%,4.7%,4.2%,4.3%,3.9%,3.4%,3.1%
78665,7.4%,7.3%,6.7%,5.7%,4.8%,4.3%,3.9%,4.3%,3.9%,3.6%
78681,6.3%,6.3%,6.8%,6.7%,6.0%,6.4%,6.3%,5.3%,4.7%,4.8%
78717,4.6%,5.2%,5.3%,4.9%,4.1%,3.3%,2.7%,2.8%,3.8%,4.0%
