zipcode,year,unemployment_rate
98031,2019,0.052000000000000005
98031,2020,0.057999999999999996
98031,2021,0.046
98031,2022,0.0399
98032,2011,0.102
98032,2012,0.109
98032,2013,0.10300000000000001
98032,2014,0.10400000000000001
98032,2015,0.087
98032,2016,0.07400000000000001
98032,2017,0.068
98032,2018,0.064
98032,2019,0.059000000000000004
98032,2020,0.075
98032,2021,0.0547
98032,2022,0.0506
98033,2011,0.057
98033,2012,0.064
98033,2013,0.066
98033,2014,0.065
98033,2015,0.061
98033,2016,0.049
98033,2017,0.04
98033,2018,0.031
98033,2019,0.027999999999999997
98033,2020,0.035
98033,2021,0.0237
98033,2022,0.0199
98034,2011,0.061
98034,2012,0.071
98034,2013,0.079
98034,2014,0.078
98034,2015,0.068
98034,2016,0.06
98034,2017,0.053
98034,2018,0.04
98034,2019,0.038
98034,2020,0.048
98034,2021,0.033
98034,2022,0.0281
98038,2011,0.06
98038,2012,0.067
98038,2013,0.078
98038,2014,0.084
98038,2015,0.08199999999999999
98038,2016,0.066
98038,2017,0.059000000000000004
98038,2018,0.053
98038,2019,0.047
98038,2020,0.05
98038,2021,0.041
98038,2022,0.035
98039,2011,0.031
98039,2012,0.026000000000000002
98039,2013,0.015
98039,2014,0.022000000000000002
98039,2015,0.024
98039,2016,0.02
98039,2017,0.032
98039,2018,0.028999999999999998
98039,2019,0.025
98039,2020,0.016
98039,2021,0.0293
98039,2022,0.0302
98040,2011,0.042
98040,2012,0.039
98040,2013,0.055999999999999994
98040,2014,0.045
98040,2015,0.051
98040,2016,0.046
98040,2017,0.042
98040,2018,0.036000000000000004
98040,2019,0.04
98040,2020,0.022000000000000002
98040,2021,0.0387
98040,2022,0.0381
98042,2011,0.051
98042,2012,0.055999999999999994
98042,2013,0.063
98042,2014,0.065
98042,2015,0.057
98042,2016,0.051
98042,2017,0.047
98042,2018,0.04
98042,2019,0.032
98042,2020,0.032
98042,2021,0.024
98042,2022,0.016
98043,2011,0.08199999999999999
98043,2012,0.08
98043,2013,0.083
98043,2014,0.075
98043,2015,0.068
98043,2016,0.05
98043,2017,0.049
98043,2018,0.039
98043,2019,0.036000000000000004
98043,2020,0.03
98043,2021,0.0294
98043,2022,0.0231
98045,2011,0.049
98045,2012,0.052000000000000005
98045,2013,0.055
98045,2014,0.048
98045,2015,0.040999999999999995
98045,2016,0.047
98045,2017,0.040999999999999995
98045,2018,0.035
98045,2019,0.032
98045,2020,0.035
98045,2021,0.0283
98045,2022,0.0242
98047,2011,0.145
98047,2012,0.138
98047,2013,0.149
98047,2014,0.14
98047,2015,0.096
98047,2016,0.086
98047,2017,0.063
98047,2018,0.023
98047,2019,0.023
98047,2020,0.024
98047,2021,0.0073
98047,2022,-0.008
98050,2011,0.149
98050,2012,0.19699999999999998
98050,2013,0.20800000000000002
98050,2014,0.0
98050,2015,0.0
98050,2016,0.0
98050,2017,0.0
98050,2018,0.0
98050,2019,0.0
98050,2020,0.0
98050,2021,-0.072
98050,2022,-0.0987
98051,2011,0.115
98051,2012,0.129
98051,2013,0.11599999999999999
98051,2014,0.084
98051,2015,0.063
98051,2016,0.049
98051,2017,0.051
98051,2018,0.034
98051,2019,0.027000000000000003
98051,2020,0.025
98051,2021,0.0182
98051,2022,0.0094
98052,2011,0.054000000000000006
98052,2012,0.057
98052,2013,0.061
98052,2014,0.057999999999999996
98052,2015,0.051
98052,2016,0.046
98052,2017,0.042
98052,2018,0.039
98052,2019,0.035
98052,2020,0.039
98052,2021,0.031
98052,2022,0.027
98053,2011,0.051
98053,2012,0.06
98053,2013,0.06
98053,2014,0.057
98053,2015,0.044000000000000004
98053,2016,0.038
98053,2017,0.03
98053,2018,0.031
98053,2019,0.034
98053,2020,0.025
98053,2021,0.0366
98053,2022,0.0396
98055,2011,0.059000000000000004
98055,2012,0.077
98055,2013,0.076
98055,2014,0.064
98055,2015,0.064
98055,2016,0.057999999999999996
98055,2017,0.047
98055,2018,0.038
98055,2019,0.032
98055,2020,0.040999999999999995
98055,2021,0.0234
98055,2022,0.0157
98056,2011,0.076
98056,2012,0.077
98056,2013,0.078
98056,2014,0.075
