ZipCode,Quarter,median_income,SPY,Unemployment,mobility_withUS,property_type,mobility_withincounty,mobility_abroad,mobility_withinstate,Label
78612,2022-04,70882.4765,493.876455084459,-0.001,0.019,Condo/Co-op,0.057,0,0.036,336656.699554348
78612,2022-04,70882.4765,493.876455084459,-0.001,0.019,Multi-Family (2-4 Unit),0.057,0,0.036,450395.786090196
78612,2022-04,70882.4765,493.876455084459,-0.001,0.019,Single Family Residential,0.057,0,0.036,390134.776179434
78612,2022-04,70882.4765,493.876455084459,-0.001,0.019,Townhouse,0.057,0,0.036,362146.811947949
78613,2022-04,110040.7311,493.876455084459,0.0346,0.036,All Residential,0.061,0.009,0.066,528223.895791852
78613,2022-04,110040.7311,493.876455084459,0.0346,0.036,Condo/Co-op,0.061,0.009,0.066,395170.823963286
78613,2022-04,110040.7311,493.876455084459,0.0346,0.036,Multi-Family (2-4 Unit),0.061,0.009,0.066,517853.33223669
78613,2022-04,110040.7311,493.876455084459,0.0346,0.036,Single Family Residential,0.061,0.009,0.066,526364.383473946
78613,2022-04,110040.7311,493.876455084459,0.0346,0.036,Townhouse,0.061,0.009,0.066,409962.572330902
78615,2022-04,50646.7641,493.876455084459,0.0282,0.006,All Residential,0.032,0.019,0.071,357200.960260106
78615,2022-04,50646.7641,493.876455084459,0.0282,0.006,Condo/Co-op,0.032,0.019,0.071,313049.608612953
78615,2022-04,50646.7641,493.876455084459,0.0282,0.006,Multi-Family (2-4 Unit),0.032,0.019,0.071,393925.851413137
78615,2022-04,50646.7641,493.876455084459,0.0282,0.006,Single Family Residential,0.032,0.019,0.071,346406.279044393
78615,2022-04,50646.7641,493.876455084459,0.0282,0.006,Townhouse,0.032,0.019,0.071,342604.02509546
78616,2022-04,55666.1972,493.876455084459,0.0714,0.019,All Residential,0.026,0.022,0.056,362643.90621908
78616,2022-04,55666.1972,493.876455084459,0.0714,0.019,Condo/Co-op,0.026,0.022,0.056,309481.025227696
78616,2022-04,55666.1972,493.876455084459,0.0714,0.019,Multi-Family (2-4 Unit),0.026,0.022,0.056,379784.147071069
78616,2022-04,55666.1972,493.876455084459,0.0714,0.019,Single Family Residential,0.026,0.022,0.056,359068.447382711
78616,2022-04,55666.1972,493.876455084459,0.0714,0.019,Townhouse,0.026,0.022,0.056,325193.969990499
78617,2022-04,72625.7032,493.876455084459,0.0398,0.023,All Residential,0.095,0.001,0.056,388714.666925142
78617,2022-04,72625.7032,493.876455084459,0.0398,0.023,Condo/Co-op,0.095,0.001,0.056,354008.029611715
78617,2022-04,72625.7032,493.876455084459,0.0398,0.023,Multi-Family (2-4 Unit),0.095,0.001,0.056,435289.074475708
78617,2022-04,72625.7032,493.876455084459,0.0398,0.023,Single Family Residential,0.095,0.001,0.056,392794.220558537
78617,2022-04,72625.7032,493.876455084459,0.0398,0.023,Townhouse,0.095,0.001,0.056,335246.117695434
78619,2022-04,149156.1964,493.876455084459,-0.0344,0.025,All Residential,0.012,0.034,0.025,723582.619603974
78619,2022-04,149156.1964,493.876455084459,-0.0344,0.025,Condo/Co-op,0.012,0.034,0.025,509110.843857139
78619,2022-04,149156.1964,493.876455084459,-0.0344,0.025,Multi-Family (2-4 Unit),0.012,0.034,0.025,637985.427595033
78619,2022-04,149156.1964,493.876455084459,-0.0344,0.025,Single Family Residential,0.012,0.034,0.025,768813.395596176
78619,2022-04,149156.1964,493.876455084459,-0.0344,0.025,Townhouse,0.012,0.034,0.025,532323.741271123
78620,2022-04,118679.3628,493.876455084459,0.0114,0.028,All Residential,0.038,0.005,0.043,640645.150443246
78620,2022-04,118679.3628,493.876455084459,0.0114,0.028,Condo/Co-op,0.038,0.005,0.043,423883.298269447
78620,2022-04,118679.3628,493.876455084459,0.0114,0.028,Multi-Family (2-4 Unit),0.038,0.005,0.043,575000.665730598
78620,2022-04,118679.3628,493.876455084459,0.0114,0.028,Single Family Residential,0.038,0.005,0.043,717012.231082759
78620,2022-04,118679.3628,493.876455084459,0.0114,0.028,Townhouse,0.038,0.005,0.043,429930.63679298
78621,2022-04,89947.2975,493.876455084459,0.0741,0.014,All Residential,0.05,0.001,0.086,383578.347584405
78621,2022-04,89947.2975,493.876455084459,0.0741,0.014,Condo/Co-op,0.05,0.001,0.086,318664.791935676
78621,2022-04,89947.2975,493.876455084459,0.0741,0.014,Multi-Family (2-4 Unit),0.05,0.001,0.086,401647.610158288
78621,2022-04,89947.2975,493.876455084459,0.0741,0.014,Single Family Residential,0.05,0.001,0.086,391453.413862694
78621,2022-04,89947.2975,493.876455084459,0.0741,0.014,Townhouse,0.05,0.001,0.086,318523.168595292
78622,2022-04,61671.2675,493.876455084459,-0.0003,0,All Residential,0,0,0,328987.351493672
78622,2022-04,61671.2675,493.876455084459,-0.0003,0,Condo/Co-op,0,0,0,272510.766630425
78622,2022-04,61671.2675,493.876455084459,-0.0003,0,Multi-Family (2-4 Unit),0,0,0,373608.858124993
78622,2022-04,61671.2675,493.876455084459,-0.0003,0,Single Family Residential,0,0,0,336660.46033232
78622,2022-04,61671.2675,493.876455084459,-0.0003,0,Townhouse,0,0,0,328730.093742774
78626,2022-04,81267.1552,493.876455084459,0.0615,0.024,All Residential,0.107,0.002,0.057,370629.234649833
78626,2022-04,81267.1552,493.876455084459,0.0615,0.024,Condo/Co-op,0.107,0.002,0.057,323622.728412282
78626,2022-04,81267.1552,493.876455084459,0.0615,0.024,Multi-Family (2-4 Unit),0.107,0.002,0.057,408856.655648542
78626,2022-04,81267.1552,493.876455084459,0.0615,0.024,Single Family Residential,0.107,0.002,0.057,379762.076703843
78626,2022-04,81267.1552,493.876455084459,0.0615,0.024,Townhouse,0.107,0.002,0.057,319011.95156119
78628,2022-04,108549.9617,493.876455084459,0.0441,0.023,All Residential,0.072,0.006,0.042,519495.121082918
78628,2022-04,108549.9617,493.876455084459,0.0441,0.023,Condo/Co-op,0.072,0.006,0.042,377091.146672519
78628,2022-04,108549.9617,493.876455084459,0.0441,0.023,Multi-Family (2-4 Unit),0.072,0.006,0.042,492795.641124338
78628,2022-04,108549.9617,493.876455084459,0.0441,0.023,Single Family Residential,0.072,0.006,0.042,535950.574335834
78628,2022-04,108549.9617,493.876455084459,0.0441,0.023,Townhouse,0.072,0.006,0.042,379946.325338316
78633,2022-04,84318.7724,493.876455084459,0.0299,0.03,All Residential,0.036,0.001,0.035,496083.387543152
78633,2022-04,84318.7724,493.876455084459,0.0299,0.03,Condo/Co-op,0.036,0.001,0.035,364684.795037409
78633,2022-04,84318.7724,493.876455084459,0.0299,0.03,Multi-Family (2-4 Unit),0.036,0.001,0.035,523520.098770971
78633,2022-04,84318.7724,493.876455084459,0.0299,0.03,Single Family Residential,0.036,0.001,0.035,517469.060831663
78633,2022-04,84318.7724,493.876455084459,0.0299,0.03,Townhouse,0.036,0.001,0.035,435449.191889077
78634,2022-04,84131.4909,493.876455084459,0.0641,0.021,All Residential,0.088,0.006,0.059,365100.63741458
78634,2022-04,84131.4909,493.876455084459,0.0641,0.021,Condo/Co-op,0.088,0.006,0.059,319189.585183734
78634,2022-04,84131.4909,493.876455084459,0.0641,0.021,Multi-Family (2-4 Unit),0.088,0.006,0.059,384996.618649834
78634,2022-04,84131.4909,493.876455084459,0.0641,0.021,Single Family Residential,0.088,0.006,0.059,363600.359957958
78634,2022-04,84131.4909,493.876455084459,0.0641,0.021,Townhouse,0.088,0.006,0.059,317289.397619298
78640,2022-04,78077.5529,493.876455084459,0.0336,0.008,All Residential,0.047,0.003,0.061,365139.762764709
78640,2022-04,78077.5529,493.876455084459,0.0336,0.008,Condo/Co-op,0.047,0.003,0.061,322550.348023229
78640,2022-04,78077.5529,493.876455084459,0.0336,0.008,Multi-Family (2-4 Unit),0.047,0.003,0.061,420305.735873058
78640,2022-04,78077.5529,493.876455084459,0.0336,0.008,Single Family Residential,0.047,0.003,0.061,364681.694898908
78640,2022-04,78077.5529,493.876455084459,0.0336,0.008,Townhouse,0.047,0.003,0.061,336180.770187171
78641,2022-04,110833.4007,493.876455084459,0.0433,0.022,All Residential,0.089,0.003,0.051,527101.50780877
78641,2022-04,110833.4007,493.876455084459,0.0433,0.022,Condo/Co-op,0.089,0.003,0.051,358687.603538189
78641,2022-04,110833.4007,493.876455084459,0.0433,0.022,Multi-Family (2-4 Unit),0.089,0.003,0.051,486886.584981273
78641,2022-04,110833.4007,493.876455084459,0.0433,0.022,Single Family Residential,0.089,0.003,0.051,541700.388083171
78641,2022-04,110833.4007,493.876455084459,0.0433,0.022,Townhouse,0.089,0.003,0.051,375088.731752619
78642,2022-04,97592.9563,493.876455084459,0.054,0.019,All Residential,0.086,0.004,0.035,447006.527281638
78642,2022-04,97592.9563,493.876455084459,0.054,0.019,Condo/Co-op,0.086,0.004,0.035,342984.58966094
78642,2022-04,97592.9563,493.876455084459,0.054,0.019,Multi-Family (2-4 Unit),0.086,0.004,0.035,452078.306976378
78642,2022-04,97592.9563,493.876455084459,0.054,0.019,Single Family Residential,0.086,0.004,0.035,448419.221905328
78642,2022-04,97592.9563,493.876455084459,0.054,0.019,Townhouse,0.086,0.004,0.035,346700.578628995
78644,2022-04,59597.3527,493.876455084459,0.0078,0.009,All Residential,0.035,0.002,0.083,345790.270858012
78644,2022-04,59597.3527,493.876455084459,0.0078,0.009,Condo/Co-op,0.035,0.002,0.083,313628.7665151
78644,2022-04,59597.3527,493.876455084459,0.0078,0.009,Multi-Family (2-4 Unit),0.035,0.002,0.083,393830.344403797
78644,2022-04,59597.3527,493.876455084459,0.0078,0.009,Single Family Residential,0.035,0.002,0.083,339819.164355112
78644,2022-04,59597.3527,493.876455084459,0.0078,0.009,Townhouse,0.035,0.002,0.083,328021.552473791
78645,2022-04,83766.3221,493.876455084459,0.0396,0.007,All Residential,0.038,0.004,0.031,371218.816845401
78645,2022-04,83766.3221,493.876455084459,0.0396,0.007,Condo/Co-op,0.038,0.004,0.031,319734.521042585
78645,2022-04,83766.3221,493.876455084459,0.0396,0.007,Multi-Family (2-4 Unit),0.038,0.004,0.031,433874.670130387
78645,2022-04,83766.3221,493.876455084459,0.0396,0.007,Single Family Residential,0.038,0.004,0.031,372054.335913355
78645,2022-04,83766.3221,493.876455084459,0.0396,0.007,Townhouse,0.038,0.004,0.031,343712.81948801
78648,2022-04,50360.4891,493.876455084459,0.0319,0,All Residential,0.02,0,0.045,341615.226242724
78648,2022-04,50360.4891,493.876455084459,0.0319,0,Condo/Co-op,0.02,0,0.045,315112.713635943
78648,2022-04,50360.4891,493.876455084459,0.0319,0,Multi-Family (2-4 Unit),0.02,0,0.045,378803.463221825
78648,2022-04,50360.4891,493.876455084459,0.0319,0,Single Family Residential,0.02,0,0.045,341161.308279161
78648,2022-04,50360.4891,493.876455084459,0.0319,0,Townhouse,0.02,0,0.045,318909.317963901
78650,2022-04,61917.2946,493.876455084459,0.1233,0.048,All Residential,0.09,0.002,0.029,369497.812828773
78650,2022-04,61917.2946,493.876455084459,0.1233,0.048,Condo/Co-op,0.09,0.002,0.029,326291.753998397
78650,2022-04,61917.2946,493.876455084459,0.1233,0.048,Multi-Family (2-4 Unit),0.09,0.002,0.029,402947.528796124
78650,2022-04,61917.2946,493.876455084459,0.1233,0.048,Single Family Residential,0.09,0.002,0.029,392631.832368771
78650,2022-04,61917.2946,493.876455084459,0.1233,0.048,Townhouse,0.09,0.002,0.029,331118.691459834
78652,2022-04,88582.043,493.876455084459,0.0112,0.012,All Residential,0.035,0,0.058,425086.342586087
78652,2022-04,88582.043,493.876455084459,0.0112,0.012,Condo/Co-op,0.035,0,0.058,363826.306961287
78652,2022-04,88582.043,493.876455084459,0.0112,0.012,Multi-Family (2-4 Unit),0.035,0,0.058,450888.074909432
78652,2022-04,88582.043,493.876455084459,0.0112,0.012,Single Family Residential,0.035,0,0.058,422254.40940317
78652,2022-04,88582.043,493.876455084459,0.0112,0.012,Townhouse,0.035,0,0.058,362188.326139411
78653,2022-04,77750.6301,493.876455084459,0.0445,0.007,All Residential,0.082,0.001,0.038,361606.856388898
78653,2022-04,77750.6301,493.876455084459,0.0445,0.007,Condo/Co-op,0.082,0.001,0.038,329884.873398043
78653,2022-04,77750.6301,493.876455084459,0.0445,0.007,Multi-Family (2-4 Unit),0.082,0.001,0.038,403971.627206717
78653,2022-04,77750.6301,493.876455084459,0.0445,0.007,Single Family Residential,0.082,0.001,0.038,361297.691487117
78653,2022-04,77750.6301,493.876455084459,0.0445,0.007,Townhouse,0.082,0.001,0.038,335010.355625166
78654,2022-04,59839.1757,493.876455084459,0.0435,0.006,All Residential,0.034,0.005,0.074,364668.552263417
78654,2022-04,59839.1757,493.876455084459,0.0435,0.006,Condo/Co-op,0.034,0.005,0.074,312499.432828727
78654,2022-04,59839.1757,493.876455084459,0.0435,0.006,Multi-Family (2-4 Unit),0.034,0.005,0.074,407788.695142978
78654,2022-04,59839.1757,493.876455084459,0.0435,0.006,Single Family Residential,0.034,0.005,0.074,357430.060021661
78654,2022-04,59839.1757,493.876455084459,0.0435,0.006,Townhouse,0.034,0.005,0.074,326768.423305808
