ZipCode,Month,median_income,YrBuilt,SqFtLot,SqFtTotLiving,mobility_us,mobility_county,stockSPY,mobility_abroad,unemployment,mobility_state,Label
98001,2022-04,104656.3005,1980,9579,1760,0.0072,0.0871,487.059767223627,0.0002,0.0396,0.0335,486608.776671482
98001,2022-04,104656.3005,1981,9579,1760,0.0072,0.0871,487.059767223627,0.0002,0.0396,0.0335,497858.597761148
98001,2022-04,104656.3005,1982,9579,1760,0.0072,0.0871,487.059767223627,0.0002,0.0396,0.0335,500592.755635255
98001,2022-04,104656.3005,1983,9579,1760,0.0072,0.0871,487.059767223627,0.0002,0.0396,0.0335,512974.855301284
98001,2022-04,104656.3005,1984,9579,1760,0.0072,0.0871,487.059767223627,0.0002,0.0396,0.0335,513199.195320839
98001,2022-04,104656.3005,1985,9579,1760,0.0072,0.0871,487.059767223627,0.0002,0.0396,0.0335,524337.122787191
98001,2022-04,104656.3005,1986,9579,1760,0.0072,0.0871,487.059767223627,0.0002,0.0396,0.0335,524337.122787191
98001,2022-04,104656.3005,1987,9579,1760,0.0072,0.0871,487.059767223627,0.0002,0.0396,0.0335,524337.122787191
98001,2022-04,104656.3005,1988,9579,1760,0.0072,0.0871,487.059767223627,0.0002,0.0396,0.0335,524337.122787191
98001,2022-04,104656.3005,1989,9579,1760,0.0072,0.0871,487.059767223627,0.0002,0.0396,0.0335,524150.572611255
98001,2022-04,104656.3005,1990,9579,1760,0.0072,0.0871,487.059767223627,0.0002,0.0396,0.0335,524150.572611255
98001,2022-04,104656.3005,1991,9579,1760,0.0072,0.0871,487.059767223627,0.0002,0.0396,0.0335,537089.007996033
98001,2022-04,104656.3005,1992,9579,1760,0.0072,0.0871,487.059767223627,0.0002,0.0396,0.0335,537089.007996033
98001,2022-04,104656.3005,1993,9579,1760,0.0072,0.0871,487.059767223627,0.0002,0.0396,0.0335,537797.548151514
98001,2022-04,104656.3005,1994,9579,1760,0.0072,0.0871,487.059767223627,0.0002,0.0396,0.0335,537797.548151514
98001,2022-04,104656.3005,1995,9579,1760,0.0072,0.0871,487.059767223627,0.0002,0.0396,0.0335,537797.548151514
98001,2022-04,104656.3005,1996,9579,1760,0.0072,0.0871,487.059767223627,0.0002,0.0396,0.0335,537797.548151514
98001,2022-04,104656.3005,1997,9579,1760,0.0072,0.0871,487.059767223627,0.0002,0.0396,0.0335,537797.548151514
98001,2022-04,104656.3005,1998,9579,1760,0.0072,0.0871,487.059767223627,0.0002,0.0396,0.0335,528422.08393404
98001,2022-04,104656.3005,1999,9579,1760,0.0072,0.0871,487.059767223627,0.0002,0.0396,0.0335,528422.08393404
98001,2022-04,104656.3005,2000,9579,1760,0.0072,0.0871,487.059767223627,0.0002,0.0396,0.0335,527960.403524736
98001,2022-04,104656.3005,2001,9579,1760,0.0072,0.0871,487.059767223627,0.0002,0.0396,0.0335,527960.403524736
98001,2022-04,104656.3005,2002,9579,1760,0.0072,0.0871,487.059767223627,0.0002,0.0396,0.0335,527960.403524736
98001,2022-04,104656.3005,2003,9579,1760,0.0072,0.0871,487.059767223627,0.0002,0.0396,0.0335,527960.403524736
98001,2022-04,104656.3005,2004,9579,1760,0.0072,0.0871,487.059767223627,0.0002,0.0396,0.0335,527960.403524736
98001,2022-04,104656.3005,2005,9579,1760,0.0072,0.0871,487.059767223627,0.0002,0.0396,0.0335,527960.403524736
98001,2022-04,104656.3005,2006,9579,1760,0.0072,0.0871,487.059767223627,0.0002,0.0396,0.0335,526953.06793405
98001,2022-04,104656.3005,2007,9579,1760,0.0072,0.0871,487.059767223627,0.0002,0.0396,0.0335,524756.301915803
98001,2022-04,104656.3005,2008,9579,1760,0.0072,0.0871,487.059767223627,0.0002,0.0396,0.0335,524756.301915803
98001,2022-04,104656.3005,2009,9579,1760,0.0072,0.0871,487.059767223627,0.0002,0.0396,0.0335,533800.6753531
98001,2022-04,104656.3005,2010,9579,1760,0.0072,0.0871,487.059767223627,0.0002,0.0396,0.0335,538708.165228128
98001,2022-04,104656.3005,2011,9579,1760,0.0072,0.0871,487.059767223627,0.0002,0.0396,0.0335,540106.053293981
98001,2022-04,104656.3005,2012,9579,1760,0.0072,0.0871,487.059767223627,0.0002,0.0396,0.0335,540106.053293981
98001,2022-04,104656.3005,2013,9579,1760,0.0072,0.0871,487.059767223627,0.0002,0.0396,0.0335,540218.40513125
98001,2022-04,104656.3005,2014,9579,1760,0.0072,0.0871,487.059767223627,0.0002,0.0396,0.0335,543383.012389777
98001,2022-04,104656.3005,2015,9579,1760,0.0072,0.0871,487.059767223627,0.0002,0.0396,0.0335,543383.012389777
98001,2022-04,104656.3005,2016,9579,1760,0.0072,0.0871,487.059767223627,0.0002,0.0396,0.0335,543383.012389777
98001,2022-04,104656.3005,2017,9579,1760,0.0072,0.0871,487.059767223627,0.0002,0.0396,0.0335,540482.069807411
98001,2022-04,104656.3005,2018,9579,1760,0.0072,0.0871,487.059767223627,0.0002,0.0396,0.0335,540381.852374383
98001,2022-04,104656.3005,2019,9579,1760,0.0072,0.0871,487.059767223627,0.0002,0.0396,0.0335,542383.85092115
98001,2022-04,104656.3005,2020,9579,1760,0.0072,0.0871,487.059767223627,0.0002,0.0396,0.0335,542383.85092115
98001,2022-04,104656.3005,2021,9579,1760,0.0072,0.0871,487.059767223627,0.0002,0.0396,0.0335,542383.85092115
98001,2022-04,104656.3005,2022,9579,1760,0.0072,0.0871,487.059767223627,0.0002,0.0396,0.0335,542383.85092115
