Zip Code,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
78712,15.4%,9.9%,8.0%,8.6%,7.7%,4.6%,6.4%,5.8%,7.0%,7.4%
78719,0.4%,1.1%,1.3%,0.8%,1.3%,0.7%,0.1%,0.0%,0.0%,0.0%
78721,1.0%,3.0%,2.5%,2.3%,2.7%,3.4%,2.4%,2.5%,3.3%,3.1%
78722,3.1%,3.0%,2.8%,3.4%,2.7%,2.8%,3.0%,3.0%,2.4%,1.8%
78723,0.7%,1.1%,1.3%,1.5%,1.5%,2.0%,2.3%,2.3%,2.3%,2.9%
78724,1.4%,0.6%,0.6%,0.5%,0.5%,0.3%,0.5%,0.5%,0.5%,0.4%
78725,0.0%,0.8%,0.6%,1.1%,1.6%,1.5%,0.8%,1.2%,1.9%,0.9%
78726,7.4%,8.6%,8.0%,7.8%,6.1%,5.1%,5.3%,5.5%,5.7%,5.9%
78727,5.9%,5.2%,4.5%,4.6%,4.3%,3.5%,3.0%,2.4%,3.4%,2.6%
78728,5.9%,4.2%,5.6%,4.4%,3.8%,3.4%,3.6%,1.9%,2.7%,2.9%
78729,4.0%,3.6%,4.1%,4.8%,5.5%,5.4%,5.1%,4.4%,3.5%,2.9%
78730,3.0%,3.1%,2.0%,2.4%,3.0%,2.5%,2.7%,5.0%,3.5%,2.3%
78731,5.2%,4.6%,5.4%,5.4%,4.3%,3.6%,3.4%,1.9%,1.6%,2.1%
78732,8.6%,6.2%,5.6%,5.6%,3.5%,1.5%,2.0%,3.3%,3.0%,5.1%
78733,2.1%,2.6%,2.7%,3.7%,4.6%,3.4%,2.7%,4.0%,2.6%,2.0%
78734,0.9%,0.9%,1.1%,0.9%,1.2%,1.5%,1.4%,1.8%,3.2%,3.2%
78735,2.8%,2.3%,3.4%,3.6%,2.8%,2.7%,3.1%,2.6%,2.8%,2.8%
78738,4.8%,5.2%,6.9%,5.3%,5.5%,5.6%,5.9%,5.0%,7.5%,7.1%
78739,2.5%,1.8%,1.7%,1.2%,1.0%,1.3%,2.2%,1.7%,1.9%,2.3%
78741,2.4%,2.2%,2.8%,3.4%,3.9%,4.7%,5.8%,5.9%,6.1%,6.8%
78742,1.1%,1.7%,2.3%,2.7%,2.4%,2.4%,2.5%,0.0%,0.0%,0.0%
78744,1.9%,1.9%,1.6%,2.0%,1.8%,2.2%,2.1%,2.7%,2.7%,2.6%
78745,2.7%,3.1%,3.0%,2.7%,2.6%,2.0%,2.0%,1.9%,1.7%,1.6%
78746,3.1%,2.6%,2.7%,2.9%,2.5%,2.2%,2.3%,2.8%,2.6%,3.0%
78747,1.8%,1.9%,1.6%,2.2%,2.1%,1.9%,1.4%,1.4%,1.9%,2.0%
78748,2.4%,2.1%,1.8%,1.8%,1.4%,1.3%,1.8%,1.5%,1.3%,1.4%
78749,2.7%,3.2%,2.8%,3.5%,3.8%,3.8%,3.3%,3.0%,1.9%,2.5%
78750,2.2%,2.4%,2.3%,2.4%,2.2%,3.0%,3.1%,3.5%,3.2%,3.6%
78751,7.3%,6.9%,7.4%,6.6%,6.3%,5.1%,5.6%,5.0%,4.8%,5.3%
78752,2.2%,2.7%,2.5%,2.2%,3.2%,3.2%,2.8%,2.8%,3.1%,2.8%
78753,1.5%,1.4%,1.3%,1.5%,1.7%,1.4%,2.0%,2.2%,2.6%,2.1%
