Zip Code,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
78712,24.8%,49.8%,45.3%,39.9%,40.6%,47.3%,39.8%,37.8%,34.5%,29.8%
78719,0.4%,6.6%,7.0%,7.0%,1.6%,1.8%,1.8%,2.9%,3.5%,2.7%
78721,2.6%,3.5%,2.4%,3.9%,3.3%,3.2%,4.3%,4.6%,3.0%,3.6%
78722,2.5%,3.1%,2.1%,1.5%,1.7%,2.1%,2.0%,3.2%,2.9%,2.9%
78723,2.5%,2.1%,2.9%,3.5%,3.5%,3.4%,3.1%,2.5%,2.2%,2.3%
78724,3.4%,3.2%,3.6%,3.7%,3.3%,3.3%,3.4%,3.0%,3.2%,3.5%
78725,1.6%,2.4%,2.5%,0.7%,0.6%,0.8%,1.1%,0.9%,3.0%,3.1%
78726,7.1%,7.4%,8.2%,7.9%,8.6%,8.3%,9.6%,7.8%,8.2%,11.2%
78727,6.2%,7.2%,6.8%,7.2%,7.3%,6.3%,6.2%,4.9%,4.4%,4.1%
78728,14.1%,13.6%,12.7%,12.6%,10.7%,8.7%,9.7%,8.0%,6.5%,5.4%
78729,13.5%,13.8%,13.9%,14.9%,12.1%,12.7%,11.6%,10.2%,8.8%,9.7%
78730,3.2%,4.0%,3.6%,3.5%,2.9%,3.5%,4.1%,4.3%,4.0%,3.4%
78731,3.4%,3.3%,3.5%,3.0%,3.5%,4.2%,4.0%,4.3%,3.8%,3.4%
78732,2.6%,5.5%,4.8%,5.1%,4.7%,4.1%,1.8%,1.5%,1.2%,3.8%
78733,3.6%,3.9%,3.2%,2.2%,2.8%,2.3%,1.8%,1.5%,1.4%,1.1%
78734,2.1%,2.5%,2.3%,2.0%,1.8%,2.3%,1.3%,2.0%,3.0%,2.0%
78735,6.5%,6.7%,4.2%,2.0%,2.6%,3.0%,2.7%,2.9%,3.7%,4.4%
78738,5.0%,4.8%,4.3%,3.0%,1.7%,2.2%,3.3%,4.0%,5.0%,6.2%
78739,3.3%,2.9%,2.7%,3.0%,2.8%,1.9%,1.3%,1.2%,0.9%,0.8%
78741,6.1%,6.3%,6.8%,6.2%,5.9%,6.1%,6.0%,5.6%,6.6%,6.9%
78742,1.2%,4.2%,5.1%,6.7%,4.6%,5.9%,3.7%,2.5%,3.6%,3.0%
78744,2.9%,2.7%,2.5%,2.8%,2.6%,2.8%,3.2%,2.9%,2.3%,3.5%
78745,4.5%,4.8%,4.5%,3.7%,4.1%,3.4%,2.4%,2.1%,2.1%,1.6%
78746,2.6%,2.3%,2.8%,2.5%,2.3%,2.2%,2.1%,1.8%,2.1%,2.4%
78747,1.9%,1.8%,2.1%,2.5%,2.5%,2.8%,2.8%,1.8%,1.7%,1.4%
78748,4.0%,3.4%,3.9%,3.9%,3.9%,3.1%,3.0%,2.6%,2.5%,2.5%
78749,3.5%,3.9%,3.5%,3.9%,4.4%,5.2%,4.7%,4.0%,2.8%,2.4%
78750,7.8%,6.8%,6.9%,8.1%,8.5%,7.6%,7.5%,7.5%,5.9%,5.4%
78751,6.5%,5.2%,4.6%,6.6%,6.0%,5.6%,4.8%,5.2%,5.7%,7.6%
78752,4.3%,4.5%,3.6%,3.7%,3.6%,3.7%,2.5%,2.8%,3.6%,3.8%
78753,3.4%,3.1%,2.8%,3.6%,3.3%,3.4%,3.7%,4.1%,3.9%,3.7%
78754,4.4%,4.4%,3.2%,3.0%,2.9%,3.1%,3.7%,4.7%,4.3%,5.1%
78756,2.2%,1.7%,2.4%,2.4%,2.4%,2.9%,3.8%,5.2%,5.9%,5.8%
78757,2.3%,2.2%,2.5%,2.2%,2.1%,1.8%,2.3%,3.1%,2.8%,2.2%
78758,4.2%,4.2%,4.0%,4.6%,4.3%,3.9%,4.0%,4.5%,4.6%,4.5%
78759,6.7%,6.3%,6.2%,5.2%,3.8%,3.6%,3.7%,4.5%,4.6%,3.9%
76511,12.7%,16.3%,19.0%,19.7%,20.0%,18.4%,14.8%,10.4%,8.1%,6.3%
76530,4.7%,6.6%,6.9%,6.6%,8.0%,7.0%,5.5%,3.0%,2.3%,4.0%
76537,3.8%,4.3%,4.0%,5.7%,4.9%,4.0%,4.0%,5.5%,4.0%,2.3%
76573,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
76574,3.7%,4.4%,4.0%,3.9%,5.1%,5.4%,4.4%,4.1%,5.4%,4.1%
76577,4.6%,2.8%,4.3%,8.2%,9.6%,10.2%,7.6%,5.9%,2.4%,1.3%
76578,0.5%,1.5%,1.9%,2.6%,3.6%,3.3%,6.4%,8.6%,6.6%,8.8%
78626,5.5%,5.0%,5.8%,5.2%,5.2%,4.6%,4.6%,4.3%,5.7%,7.7%
78628,3.3%,3.2%,2.7%,2.4%,2.6%,3.7%,3.7%,3.7%,4.2%,4.1%
78633,4.6%,4.8%,5.4%,3.8%,3.8%,3.5%,3.4%,3.2%,3.5%,3.3%
78665,7.3%,7.0%,5.6%,6.1%,5.7%,5.3%,5.4%,5.6%,5.2%,5.5%
78681,7.1%,6.7%,5.2%,4.2%,4.2%,4.0%,3.3%,3.6%,3.6%,4.0%
78717,7.9%,6.4%,6.9%,6.7%,6.9%,6.7%,6.9%,7.0%,6.3%,5.7%
