,Zip Code,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
43,78676,0.012,0.016,0.017,0.011000000000000001,0.013999999999999999,0.027000000000000003,0.025,0.019,0.024,0.028999999999999998,0.024,0.024
44,78736,0.023,0.021,0.004,0.012,0.013000000000000001,0.017,0.027999999999999997,0.027999999999999997,0.021,0.018000000000000002,0.021,0.021
45,78737,0.017,0.01,0.015,0.013999999999999999,0.013000000000000001,0.013000000000000001,0.016,0.017,0.013000000000000001,0.03,0.013,0.013
46,78613,0.018000000000000002,0.025,0.025,0.023,0.031,0.031,0.025,0.026000000000000002,0.036000000000000004,0.032,0.036,0.036
47,78615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.006,0.006,0.006,0.006
48,78634,0.025,0.027000000000000003,0.034,0.043,0.025,0.032,0.032,0.028999999999999998,0.021,0.017,0.021,0.021
49,78641,0.031,0.024,0.024,0.025,0.027000000000000003,0.027000000000000003,0.022000000000000002,0.018000000000000002,0.022000000000000002,0.024,0.022,0.022
50,78645,0.011000000000000001,0.006,0.006,0.006999999999999999,0.008,0.0,0.003,0.006,0.006999999999999999,0.006,0.007,0.007
51,78653,0.011000000000000001,0.013999999999999999,0.008,0.016,0.015,0.015,0.011000000000000001,0.011000000000000001,0.006999999999999999,0.009000000000000001,0.007,0.007
52,78660,0.022000000000000002,0.02,0.022000000000000002,0.02,0.017,0.017,0.023,0.025,0.025,0.024,0.025,0.025
53,78664,0.034,0.034,0.033,0.034,0.031,0.034,0.028999999999999998,0.026000000000000002,0.027000000000000003,0.028999999999999998,0.027,0.027
54,78701,0.105,0.081,0.061,0.06,0.077,0.084,0.09300000000000001,0.094,0.109,0.13699999999999998,0.109,0.109
55,78702,0.03,0.021,0.018000000000000002,0.023,0.022000000000000002,0.022000000000000002,0.027000000000000003,0.037000000000000005,0.040999999999999995,0.047,0.041,0.041
56,78703,0.034,0.03,0.028999999999999998,0.045,0.031,0.03,0.033,0.038,0.032,0.034,0.032,0.032
57,78704,0.042,0.049,0.055,0.055,0.064,0.064,0.055999999999999994,0.051,0.048,0.044000000000000004,0.048,0.048
58,78705,0.075,0.063,0.059000000000000004,0.055999999999999994,0.057999999999999996,0.047,0.049,0.054000000000000006,0.052000000000000005,0.057999999999999996,0.052,0.052
59,78712,0.154,0.099,0.08,0.086,0.077,0.046,0.064,0.057999999999999996,0.07,0.07400000000000001,0.07,0.07
60,78719,0.004,0.011000000000000001,0.013000000000000001,0.008,0.013000000000000001,0.006999999999999999,0.001,0.0,0.0,0.0,0.0,0.0
61,78721,0.01,0.03,0.025,0.023,0.027000000000000003,0.034,0.024,0.025,0.033,0.031,0.033,0.033
62,78722,0.031,0.03,0.027999999999999997,0.034,0.027000000000000003,0.027999999999999997,0.03,0.03,0.024,0.018000000000000002,0.024,0.024
63,78723,0.006999999999999999,0.011000000000000001,0.013000000000000001,0.015,0.015,0.02,0.023,0.023,0.023,0.028999999999999998,0.023,0.023
