Zip Code,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
98116,1.9%,2.3%,2.1%,1.5%,1.5%,1.2%,1.3%,1.2%,1.2%,1.0%
98117,1.2%,1.3%,1.3%,1.0%,1.3%,1.4%,1.2%,1.4%,1.3%,1.0%
98118,0.7%,0.6%,0.8%,1.0%,1.2%,1.4%,1.4%,1.5%,1.2%,0.9%
98119,4.4%,3.5%,3.4%,3.3%,3.1%,3.2%,3.0%,2.4%,1.7%,1.7%
98121,4.7%,4.3%,4.9%,4.6%,4.5%,3.9%,3.2%,1.9%,1.5%,0.7%
98122,3.3%,2.8%,2.0%,2.1%,2.1%,2.1%,2.4%,2.7%,2.5%,2.1%
98125,3.0%,3.3%,3.8%,3.9%,3.0%,2.7%,2.9%,2.5%,2.8%,2.7%
98126,1.3%,1.5%,1.0%,1.4%,1.6%,1.7%,1.4%,2.2%,2.3%,2.5%
98133,2.9%,3.2%,4.2%,4.1%,4.5%,4.2%,3.9%,2.7%,2.5%,2.0%
98134,4.2%,3.3%,6.7%,10.6%,9.2%,9.2%,11.3%,10.6%,9.8%,8.2%
98136,1.5%,1.6%,1.5%,1.7%,2.1%,1.9%,1.8%,1.6%,0.8%,0.5%
98144,1.7%,1.8%,1.7%,1.7%,1.4%,1.1%,0.9%,0.9%,1.0%,0.9%
98146,0.4%,0.6%,0.7%,0.7%,0.8%,0.6%,0.9%,1.3%,1.2%,1.4%
98148,2.2%,2.5%,0.9%,1.5%,1.8%,1.8%,2.2%,2.0%,2.3%,1.8%
98155,2.6%,2.7%,3.6%,3.0%,3.1%,3.2%,3.7%,2.5%,2.4%,2.0%
98164,11.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
98166,0.5%,0.6%,0.5%,0.7%,0.7%,0.5%,0.4%,0.7%,1.0%,1.8%
98168,2.5%,2.0%,2.5%,2.0%,1.4%,1.1%,1.0%,0.7%,1.2%,1.1%
98177,1.9%,1.8%,2.0%,2.6%,3.4%,3.6%,3.5%,3.2%,3.0%,1.6%
98178,0.8%,0.8%,0.9%,1.8%,1.7%,2.0%,1.6%,1.5%,0.8%,0.9%
98188,3.4%,2.5%,2.5%,3.2%,2.0%,1.3%,1.8%,1.9%,0.7%,0.6%
98195,50.0%,8.3%,10.3%,12.8%,17.8%,0.0%,0.0%,0.0%,0.0%,0.0%
98198,2.1%,2.0%,1.7%,2.3%,2.1%,2.0%,2.0%,2.3%,1.8%,2.7%
98199,0.8%,0.7%,0.9%,0.5%,0.5%,0.5%,0.7%,0.4%,0.9%,1.0%
98224,8.1%,11.1%,10.8%,13.0%,14.2%,4.3%,0.0%,2.4%,2.8%,2.5%
98288,5.6%,5.6%,0.0%,0.0%,0.6%,0.6%,0.6%,0.6%,0.4%,0.0%
98321,5.1%,2.7%,3.4%,3.0%,3.4%,3.5%,4.4%,5.0%,4.9%,4.5%
98323,0.0%,0.0%,0.0%,0.0%,2.6%,3.0%,4.7%,5.2%,5.3%,3.6%
98354,6.4%,5.1%,5.2%,7.0%,7.2%,6.5%,6.2%,5.5%,4.3%,4.9%
98391,3.7%,4.0%,3.7%,3.8%,3.7%,4.1%,4.5%,4.8%,5.1%,4.8%
