zipcode,year,mobility
98031,2022,0.1015
98032,2011,0.154
98032,2012,0.147
98032,2013,0.141
98032,2014,0.14400000000000002
98032,2015,0.149
98032,2016,0.126
98032,2017,0.13
98032,2018,0.142
98032,2019,0.154
98032,2020,0.163
98032,2021,0.1564
98032,2022,0.1589
98033,2011,0.135
98033,2012,0.126
98033,2013,0.126
98033,2014,0.111
98033,2015,0.11599999999999999
98033,2016,0.1
98033,2017,0.11
98033,2018,0.11900000000000001
98033,2019,0.114
98033,2020,0.1
98033,2021,0.1165
98033,2022,0.1193
98034,2011,0.1
98034,2012,0.1
98034,2013,0.12
98034,2014,0.13
98034,2015,0.127
98034,2016,0.12
98034,2017,0.12300000000000001
98034,2018,0.115
98034,2019,0.11599999999999999
98034,2020,0.10099999999999999
98034,2021,0.118
98034,2022,0.12
98038,2011,0.084
98038,2012,0.084
98038,2013,0.086
98038,2014,0.095
98038,2015,0.09300000000000001
98038,2016,0.091
98038,2017,0.1
98038,2018,0.106
98038,2019,0.102
98038,2020,0.099
98038,2021,0.1072
98038,2022,0.11
98039,2011,0.054000000000000006
98039,2012,0.051
98039,2013,0.077
98039,2014,0.094
98039,2015,0.081
98039,2016,0.11
98039,2017,0.113
98039,2018,0.085
98039,2019,0.096
98039,2020,0.132
98039,2021,0.1145
98039,2022,0.1204
98040,2011,0.064
98040,2012,0.062
98040,2013,0.075
98040,2014,0.086
98040,2015,0.111
98040,2016,0.111
98040,2017,0.121
98040,2018,0.11199999999999999
98040,2019,0.105
98040,2020,0.09
98040,2021,0.0976
98040,2022,0.0895
98042,2011,0.08199999999999999
98042,2012,0.094
98042,2013,0.08900000000000001
98042,2014,0.092
98042,2015,0.09300000000000001
98042,2016,0.10300000000000001
98042,2017,0.084
98042,2018,0.079
98042,2019,0.078
98042,2020,0.08199999999999999
98042,2021,0.071
98042,2022,0.065
98043,2011,0.09699999999999999
98043,2012,0.095
98043,2013,0.092
98043,2014,0.08800000000000001
98043,2015,0.095
98043,2016,0.08199999999999999
98043,2017,0.083
98043,2018,0.077
98043,2019,0.071
98043,2020,0.055
98043,2021,0.0715
98043,2022,0.0685
98045,2011,0.08900000000000001
98045,2012,0.083
98045,2013,0.105
98045,2014,0.106
98045,2015,0.10300000000000001
98045,2016,0.106
98045,2017,0.1
98045,2018,0.086
98045,2019,0.077
98045,2020,0.075
98045,2021,0.0754
98045,2022,0.0738
98047,2011,0.168
