,Zip Code,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,78602,0.05,0.07200000000000001,0.086,0.1,0.11199999999999999,0.099,0.08900000000000001,0.07,0.062,0.057,0.062,0.062
1,78612,0.042,0.038,0.044000000000000004,0.043,0.045,0.06,0.059000000000000004,0.037000000000000005,0.036000000000000004,0.055999999999999994,0.036,0.036
2,78616,0.057999999999999996,0.081,0.1,0.079,0.077,0.055,0.039,0.059000000000000004,0.055999999999999994,0.061,0.056,0.056
3,78617,0.034,0.038,0.040999999999999995,0.042,0.063,0.054000000000000006,0.040999999999999995,0.049,0.055999999999999994,0.04,0.056,0.056
4,78621,0.04,0.049,0.048,0.07,0.07400000000000001,0.08900000000000001,0.08800000000000001,0.07400000000000001,0.086,0.077,0.086,0.086
5,78650,0.037000000000000005,0.017,0.011000000000000001,0.019,0.018000000000000002,0.024,0.040999999999999995,0.04,0.028999999999999998,0.051,0.029,0.029
6,78659,0.011000000000000001,0.005,0.026000000000000002,0.021,0.05,0.047,0.081,0.04,0.048,0.047,0.048,0.048
7,78662,0.034,0.043,0.045,0.019,0.028999999999999998,0.021,0.011000000000000001,0.015,0.027999999999999997,0.013000000000000001,0.028,0.028
8,78941,0.022000000000000002,0.025,0.04,0.043,0.048,0.052000000000000005,0.051,0.051,0.03,0.025,0.03,0.03
9,78942,0.083,0.07400000000000001,0.10400000000000001,0.057999999999999996,0.047,0.059000000000000004,0.067,0.062,0.055999999999999994,0.064,0.056,0.056
10,78945,0.023,0.025,0.024,0.026000000000000002,0.024,0.024,0.024,0.017,0.027999999999999997,0.017,0.028,0.028
11,78953,0.0,0.035,0.040999999999999995,0.062,0.068,0.08199999999999999,0.039,0.042,0.024,0.035,0.024,0.024
12,78957,0.026000000000000002,0.025,0.023,0.022000000000000002,0.031,0.044000000000000004,0.044000000000000004,0.042,0.028999999999999998,0.034,0.029,0.029
13,78959,0.006999999999999999,0.002,0.002,0.0,0.02,0.022000000000000002,0.022000000000000002,0.024,0.027999999999999997,0.009000000000000001,0.028,0.028
14,76527,0.021,0.031,0.028999999999999998,0.027000000000000003,0.028999999999999998,0.055999999999999994,0.064,0.065,0.069,0.052000000000000005,0.069,0.069
15,76539,0.084,0.077,0.08,0.06,0.05,0.044000000000000004,0.038,0.019,0.015,0.038,0.015,0.015
16,76542,0.02,0.016,0.015,0.024,0.027999999999999997,0.027999999999999997,0.037000000000000005,0.038,0.035,0.052000000000000005,0.035,0.035
17,76549,0.036000000000000004,0.038,0.032,0.026000000000000002,0.027999999999999997,0.036000000000000004,0.04,0.05,0.048,0.045,0.048,0.048
18,76550,0.065,0.078,0.044000000000000004,0.027000000000000003,0.023,0.038,0.032,0.04,0.04,0.05,0.04,0.04
19,78605,0.037000000000000005,0.039,0.057999999999999996,0.053,0.051,0.071,0.079,0.07,0.07200000000000001,0.07,0.072,0.072
