,Zip Code,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
54,78701,0.021,0.023,0.019,0.013000000000000001,0.018000000000000002,0.016,0.011000000000000001,0.017,0.022000000000000002,0.03,0.022,0.022
55,78702,0.004,0.004,0.004,0.002,0.002,0.003,0.006999999999999999,0.008,0.009000000000000001,0.011000000000000001,0.009,0.009
56,78703,0.013000000000000001,0.013999999999999999,0.012,0.012,0.008,0.011000000000000001,0.009000000000000001,0.008,0.005,0.006999999999999999,0.005,0.005
57,78704,0.019,0.016,0.008,0.011000000000000001,0.01,0.009000000000000001,0.009000000000000001,0.01,0.006999999999999999,0.006,0.007,0.007
58,78705,0.01,0.013000000000000001,0.016,0.021,0.023,0.027000000000000003,0.025,0.022000000000000002,0.018000000000000002,0.022000000000000002,0.018,0.018
59,78712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01
60,78719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,78721,0.001,0.001,0.004,0.004,0.002,0.004,0.005,0.004,0.005,0.006999999999999999,0.005,0.005
62,78722,0.01,0.009000000000000001,0.012,0.011000000000000001,0.011000000000000001,0.013000000000000001,0.012,0.013999999999999999,0.019,0.013999999999999999,0.019,0.019
63,78723,0.019,0.013000000000000001,0.015,0.023,0.019,0.017,0.015,0.013999999999999999,0.004,0.006,0.004,0.004
64,78724,0.022000000000000002,0.023,0.021,0.02,0.016,0.003,0.002,0.006,0.008,0.011000000000000001,0.008,0.008
65,78725,0.013000000000000001,0.011000000000000001,0.016,0.008,0.012,0.0,0.0,0.0,0.002,0.004,0.002,0.002
66,78726,0.015,0.012,0.015,0.018000000000000002,0.022000000000000002,0.009000000000000001,0.008,0.002,0.005,0.017,0.005,0.005
67,78727,0.012,0.013000000000000001,0.02,0.025,0.025,0.025,0.03,0.03,0.027000000000000003,0.023,0.027,0.027
68,78728,0.011000000000000001,0.012,0.006,0.008,0.008,0.008,0.008,0.017,0.015,0.012,0.015,0.015
69,78729,0.008,0.009000000000000001,0.009000000000000001,0.006999999999999999,0.006,0.006,0.008,0.015,0.013000000000000001,0.013999999999999999,0.013,0.013
70,78730,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.003,0.003,0.003
71,78731,0.021,0.025,0.027999999999999997,0.025,0.021,0.026000000000000002,0.025,0.019,0.022000000000000002,0.024,0.022,0.022
72,78732,0.005,0.005,0.004,0.018000000000000002,0.015,0.011000000000000001,0.01,0.009000000000000001,0.002,0.002,0.002,0.002
73,78733,0.0,0.003,0.003,0.005,0.005,0.006999999999999999,0.002,0.003,0.003,0.003,0.003,0.003
74,78734,0.006,0.006,0.006999999999999999,0.006,0.006,0.008,0.005,0.009000000000000001,0.008,0.006999999999999999,0.008,0.008
75,78735,0.018000000000000002,0.013000000000000001,0.013000000000000001,0.015,0.006999999999999999,0.01,0.013000000000000001,0.011000000000000001,0.012,0.011000000000000001,0.012,0.012
76,78738,0.005,0.009000000000000001,0.009000000000000001,0.017,0.018000000000000002,0.013999999999999999,0.012,0.01,0.003,0.0,0.003,0.003
77,78739,0.006,0.006,0.004,0.002,0.008,0.004,0.004,0.004,0.005,0.0,0.005,0.005
78,78741,0.017,0.017,0.015,0.013999999999999999,0.012,0.016,0.017,0.013999999999999999,0.016,0.013999999999999999,0.016,0.016
79,78742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,78744,0.006999999999999999,0.006,0.006,0.006999999999999999,0.005,0.006,0.006999999999999999,0.006999999999999999,0.012,0.008,0.012,0.012
81,78745,0.011000000000000001,0.013999999999999999,0.013000000000000001,0.008,0.009000000000000001,0.009000000000000001,0.006,0.008,0.006999999999999999,0.003,0.007,0.007
82,78746,0.008,0.011000000000000001,0.011000000000000001,0.015,0.017,0.012,0.012,0.009000000000000001,0.006999999999999999,0.005,0.007,0.007
83,78747,0.0,0.001,0.003,0.003,0.003,0.003,0.015,0.019,0.016,0.016,0.016,0.016
84,78748,0.005,0.004,0.002,0.003,0.005,0.005,0.005,0.005,0.002,0.002,0.002,0.002
85,78749,0.005,0.005,0.006999999999999999,0.008,0.006999999999999999,0.006,0.006999999999999999,0.005,0.005,0.005,0.005,0.005
86,78750,0.004,0.004,0.001,0.004,0.004,0.006,0.01,0.012,0.011000000000000001,0.018000000000000002,0.011,0.011
87,78751,0.02,0.018000000000000002,0.013000000000000001,0.015,0.017,0.017,0.019,0.019,0.019,0.013999999999999999,0.019,0.019
88,78752,0.019,0.011000000000000001,0.011000000000000001,0.01,0.005,0.009000000000000001,0.008,0.008,0.021,0.016,0.021,0.021
89,78753,0.006999999999999999,0.008,0.008,0.009000000000000001,0.011000000000000001,0.012,0.016,0.016,0.018000000000000002,0.018000000000000002,0.018,0.018
90,78754,0.008,0.002,0.002,0.004,0.006,0.008,0.009000000000000001,0.008,0.006999999999999999,0.003,0.007,0.007
91,78756,0.02,0.017,0.021,0.008,0.006999999999999999,0.004,0.009000000000000001,0.006,0.024,0.021,0.024,0.024
92,78757,0.013999999999999999,0.013000000000000001,0.013000000000000001,0.006999999999999999,0.005,0.003,0.003,0.004,0.004,0.003,0.004,0.004
93,78758,0.01,0.008,0.011000000000000001,0.013999999999999999,0.013999999999999999,0.016,0.02,0.016,0.013999999999999999,0.016,0.014,0.014
94,78759,0.003,0.011000000000000001,0.012,0.012,0.012,0.016,0.015,0.013000000000000001,0.015,0.019,0.015,0.015
95,76511,0.006999999999999999,0.004,0.003,0.003,0.004,0.001,0.001,0.001,0.001,0.001,0.001,0.001
96,76530,0.0,0.003,0.002,0.002,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0
97,76537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
98,76573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,76574,0.001,0.006,0.006,0.01,0.015,0.019,0.022000000000000002,0.021,0.016,0.012,0.016,0.016
100,76577,0.0,0.0,0.0,0.011000000000000001,0.01,0.019,0.013999999999999999,0.013999999999999999,0.002,0.002,0.002,0.002
101,76578,0.006999999999999999,0.006999999999999999,0.008,0.009000000000000001,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,78626,0.006,0.005,0.006999999999999999,0.008,0.004,0.004,0.003,0.003,0.002,0.002,0.002,0.002
103,78628,0.002,0.002,0.003,0.004,0.003,0.005,0.005,0.005,0.006,0.005,0.006,0.006
104,78633,0.003,0.001,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001
105,78665,0.011000000000000001,0.006,0.003,0.004,0.004,0.003,0.003,0.003,0.005,0.011000000000000001,0.005,0.005
106,78681,0.016,0.011000000000000001,0.011000000000000001,0.013999999999999999,0.011000000000000001,0.008,0.011000000000000001,0.012,0.011000000000000001,0.009000000000000001,0.011,0.011
107,78717,0.002,0.006,0.006999999999999999,0.009000000000000001,0.011000000000000001,0.012,0.01,0.005,0.012,0.01,0.012,0.012
