ZipCode,Beds,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
98004,5~,147500.0,195750.0,181000.0,130000.0,212500.0,140500.0,145000.0,310000.0,614500.0,188000.0,334300.0,350000.0,374500.0,450000.0,452500.0,426250.0,548075.0,709975.0,599000.0,912000.0,699800.0,790000.0,895000.0,1100000.0,1260000.0,1600000.0,1525000.0,1260000.0,1083717.0,1050000.0,1128000.0,1500000.0,1633500.0,2000000.0,2390000.0,2672951.0,2999919.0,2931000.0,3010000.0,3900000.0,4800000.0
98005,0~2,,,84400.0,120000.0,73475.0,120000.0,126000.0,120000.0,,190000.0,184000.0,150000.0,188250.0,198250.0,214000.0,210000.0,245000.0,235000.0,275000.0,261500.0,226585.0,288975.0,306500.0,355000.0,469500.0,660000.0,491500.0,362500.0,329050.0,,597500.0,407000.0,,580000.0,639940.0,720000.0,1165000.0,1493000.0,905000.0,1145000.0,
98005,3~4,98500.0,129631.0,113500.0,120000.0,129000.0,128425.0,135000.0,155250.0,221000.0,209750.0,189000.0,216500.0,204000.0,243500.0,228000.0,267000.0,315000.0,345000.0,384546.0,375000.0,385950.0,420000.0,460000.0,560000.0,655750.0,730000.0,630000.0,565000.0,575000.0,538637.5,585000.0,706000.0,722000.0,800500.0,918000.0,1080000.0,1205000.0,1290000.0,1400000.0,1700000.0,2150000.0
98005,5~,88000.0,135000.0,146837.5,140000.0,171200.0,120500.0,150750.0,225000.0,232500.0,370000.0,219000.0,223000.0,215000.0,345950.0,248500.0,287550.0,395000.0,420000.0,470000.0,407500.0,495000.0,503475.0,550000.0,660000.0,745000.0,1000000.0,875000.0,637500.0,525000.0,650000.0,776000.0,711000.0,937500.0,900000.0,987500.0,1155000.0,1442500.0,1450000.0,1492500.0,2450000.0,2550000.0
98006,0~2,,63000.0,87500.0,65000.0,130750.0,117500.0,87950.0,117000.0,182000.0,149500.0,157750.0,172400.0,167000.0,220000.0,200000.0,186000.0,254400.0,199500.0,371790.0,277500.0,255000.0,260000.0,470000.0,410250.0,580000.0,488500.0,540000.0,379500.0,425000.0,730500.0,449000.0,400000.0,605625.0,471250.0,572500.0,731250.0,950000.0,822450.0,1456642.0,1800000.0,1000000.0
98006,3~4,125000.0,123000.0,122147.0,127800.0,125000.0,139500.0,147000.0,177500.0,244750.0,217450.0,215000.0,220000.0,244500.0,246000.0,256000.0,275000.0,317750.0,350000.0,379995.0,410000.0,393800.0,399950.0,450000.0,531770.0,620000.0,658500.0,627250.0,548000.0,590000.0,545000.0,580000.0,625250.0,678000.0,739500.0,821000.0,1020292.5,1050000.0,1007500.0,1080000.0,1400000.0,1600000.0
98006,5~,141500.0,132950.0,155000.0,116000.0,122500.0,145000.0,147900.0,195500.0,275000.0,281000.0,235000.0,263750.0,280000.0,237000.0,255000.0,359000.0,392500.0,472000.0,536475.0,499950.0,510000.0,539975.0,565000.0,678655.5,759225.0,707500.0,690000.0,653000.0,662000.0,657000.0,680000.0,760000.0,867209.0,865000.0,936500.0,1190000.0,1309750.0,1370000.0,1410000.0,1690000.0,1935000.0
98007,0~2,,,,78000.0,,,,,,,133000.0,120000.0,127250.0,,150000.0,,180000.0,212000.0,188000.0,,226375.0,243000.0,327500.0,352450.0,,397500.0,,,,,418250.0,394750.0,450000.0,590000.0,,,,622225.0,,865000.0,
98007,3~4,112475.0,87500.0,96450.0,83500.0,83950.0,109900.0,118500.0,130975.0,162500.0,161500.0,156875.0,158000.0,165846.0,168000.0,176000.0,186000.0,230475.0,253000.0,272750.0,283000.0,305250.0,290550.0,335250.0,407475.0,484950.0,502500.0,477500.0,420000.0,395000.0,373000.0,376750.0,445000.0,519000.0,575000.0,632500.0,751000.0,810000.0,825000.0,860000.0,1123000.0,1400000.0
98007,5~,85500.0,81500.0,112000.0,99000.0,87500.0,105000.0,108000.0,140975.0,205000.0,173000.0,176375.0,164500.0,182500.0,184000.0,181000.0,212000.0,235000.0,266975.0,292000.0,289750.0,305300.0,327475.0,359500.0,445250.0,520000.0,567000.0,650000.0,740000.0,436000.0,400000.0,407190.0,505769.0,567500.0,799000.0,781875.0,900000.0,877000.0,971000.0,1026000.0,1285250.0,1650000.0
98008,0~2,107500.0,,,109100.0,180000.0,120950.0,300750.0,260000.0,445000.0,156950.0,152500.0,143975.0,165000.0,185500.0,198000.0,310000.0,249200.0,244750.0,240000.0,569750.0,315000.0,252300.0,379950.0,498000.0,502004.0,677250.0,1200000.0,580000.0,520000.0,323000.0,347500.0,547250.0,460000.0,770000.0,500000.0,,1650000.0,1100000.0,819000.0,1750000.0,3400000.0
98008,3~4,85950.0,87940.0,88500.0,92625.0,88000.0,93000.0,115725.0,123250.0,182500.0,155000.0,160000.0,161500.0,172500.0,175700.0,182600.0,210850.0,229950.0,247000.0,275000.0,270000.0,289450.0,295000.0,343625.0,410000.0,480000.0,527500.0,498950.0,430000.0,430850.0,402500.0,418000.0,475000.0,521029.0,565000.0,670000.0,775000.0,858500.0,845000.0,919000.0,1200000.0,1437500.0
98008,5~,80225.0,92475.0,97500.0,110000.0,90000.0,107750.0,97575.0,125000.0,193500.0,178000.0,178000.0,179000.0,176475.0,206250.0,220000.0,219475.0,263000.0,280500.0,300750.0,312500.0,320000.0,334500.0,373000.0,466500.0,565750.0,588000.0,575000.0,455000.0,464000.0,400000.0,488380.0,550000.0,589500.0,670000.0,730000.0,870000.0,975000.0,1000000.0,1225000.0,1414000.0,1700000.0
98009,3~4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600057.0,649995.0,,,,
98009,5~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2450000.0,,
98010,0~2,,67622.5,55000.0,85000.0,76000.0,80000.0,50500.0,55150.0,51250.0,61518.0,94500.0,81400.0,132400.0,74100.0,95500.0,168500.0,171975.0,134804.0,118500.0,114500.0,195000.0,167000.0,191000.0,191475.0,239900.0,225000.0,127500.0,240000.0,195000.0,291260.0,122000.0,153450.0,260750.0,234900.0,180125.0,350000.0,295000.0,242925.0,355000.0,415000.0,1531750.0
98010,3~4,80000.0,83500.0,60000.0,85500.0,70875.0,85000.0,134250.0,135500.0,127900.0,117750.0,113500.0,126950.0,139600.0,145500.0,163815.0,172900.0,198924.0,179600.0,194850.0,202950.0,210000.0,234000.0,224975.0,276750.0,300000.0,324950.0,329950.0,266875.0,232500.0,233750.0,215000.0,262500.0,275000.0,336000.0,333500.0,375000.0,442500.0,450000.0,496932.0,605242.5,606900.0
98010,5~,,,,,,,313000.0,360000.0,,,,170000.0,238100.0,186740.0,175000.0,89950.0,320000.0,242475.0,244650.0,442300.0,277999.5,429000.0,229400.0,344975.0,635206.5,315000.0,235000.0,830000.0,537475.0,333500.0,427500.0,293500.0,,359999.0,558975.0,657775.0,574975.0,532500.0,611950.0,1748000.0,
98011,0~2,79000.0,68500.0,58500.0,64300.0,,97800.0,112500.0,75000.0,131800.0,184284.5,109475.0,125000.0,139250.0,139475.0,124950.0,136475.0,164750.0,212500.0,215000.0,238850.0,235000.0,216725.0,206000.0,298000.0,373500.0,312500.0,24000.0,180000.0,261500.0,218000.0,220000.0,255000.0,325000.0,297500.0,428250.0,492500.0,517500.0,655000.0,550000.0,770000.0,450000.0
98011,3~4,79500.0,83000.0,84000.0,87000.0,90975.0,92250.0,128844.0,142375.0,179150.5,197500.0,169725.0,166000.0,176133.0,177400.0,189950.0,198250.0,225000.0,239500.0,259990.0,275100.0,280000.0,301500.0,345000.0,375000.0,449950.0,443500.0,435000.0,360000.0,356000.0,349000.0,357950.0,405000.0,443000.0,480000.0,555500.0,650000.0,672500.0,675000.0,760000.0,950000.0,1184500.0
98011,5~,,95975.0,92500.0,101475.0,108975.0,112000.0,129000.0,115450.0,185289.5,196750.0,180000.0,166950.0,212976.0,187874.0,194000.0,236725.0,223000.0,241750.0,326500.0,344975.0,315000.0,361832.0,349950.0,410000.0,487425.0,504000.0,459250.0,440000.0,377500.0,435000.0,374850.0,457000.0,540000.0,650000.0,620700.0,740000.0,760000.0,795000.0,817500.0,1162500.0,1415000.0
98014,0~2,49150.0,39900.0,55525.0,50000.0,45000.0,28497.5,57725.0,99500.0,98500.0,82750.0,113500.0,110000.0,120000.0,143500.0,125000.0,131475.0,163000.0,169950.0,220750.0,179250.0,204975.0,191000.0,250000.0,312450.0,285000.0,309000.0,280000.0,225000.0,204000.0,180000.0,220000.0,225000.0,301000.0,265000.0,300000.0,326250.0,450000.0,414000.0,524250.0,549500.0,437500.0
98014,3~4,59950.0,72075.0,62000.0,69500.0,103000.0,78000.0,109950.0,108000.0,138725.0,136000.0,155000.0,165000.0,207500.0,200000.0,204000.0,194000.0,235000.0,276918.0,275000.0,271000.0,298975.0,292500.0,343950.0,368750.0,432500.0,425000.0,414250.0,393000.0,392225.0,337500.0,325000.0,390250.0,425000.0,453000.0,568500.0,616500.0,625000.0,694999.5,725000.0,853500.0,832000.0
98014,5~,100000.0,,,,,57500.0,87314.0,149750.0,350000.0,201900.0,215000.0,12432.0,,217000.0,269000.0,470000.0,947475.0,446700.0,497500.0,377500.0,,,625000.0,489990.0,650000.0,,519950.0,645000.0,1900000.0,280000.0,532000.0,549000.0,1098500.0,630855.0,631265.0,709900.0,752450.0,604500.0,865000.0,1175000.0,
98017,3~4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250000.0,,
98019,0~2,50000.0,98000.0,49685.0,56950.0,54750.0,60975.0,76000.0,89900.0,,112500.0,75050.0,113000.0,132250.0,143000.0,153500.0,132475.0,161250.0,172500.0,226500.0,248475.0,259000.0,237600.0,233000.0,270000.0,385000.0,352208.0,347000.0,301500.0,281000.0,230000.0,188500.0,281597.0,283700.0,317500.0,387500.0,430000.0,490500.0,480000.0,540000.0,706250.0,800000.0
98019,3~4,64250.0,81000.0,76500.0,67800.0,63952.0,84950.0,92600.0,102175.0,163066.5,159750.0,165000.0,162500.0,176500.0,184607.0,187375.5,229500.0,230000.0,258000.0,269188.0,253800.0,293000.0,326300.0,330000.0,375000.0,419950.0,479950.0,425500.0,369000.0,382630.0,310000.0,319950.0,388500.0,380300.0,435000.0,472250.0,550000.0,608750.0,622500.0,675000.0,824997.5,917500.0
98019,5~,,,,,,,89950.0,,,,253950.0,178700.0,251425.0,,269495.0,214350.0,303970.0,231320.0,297137.5,345225.0,280000.0,387500.0,381225.0,456332.5,534394.0,465000.0,530000.0,380350.0,452454.0,400000.0,349972.5,420000.0,515500.0,549000.0,625000.0,630000.0,699999.0,724500.0,810000.0,1125000.0,1270000.0
98021,3~4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290225.0,,,,,,,,,,
98022,0~2,47000.0,32475.0,44000.0,50000.0,37000.0,58500.0,41300.0,73675.0,77500.0,134775.0,84000.0,88500.0,93500.0,95000.0,102475.0,105375.0,112450.0,123000.0,129900.0,134250.0,149000.0,150000.0,164475.0,203800.0,233500.0,238121.0,209950.0,218250.0,165000.0,168194.0,131750.0,178975.0,187000.0,225000.0,239950.0,250750.0,284000.0,320000.0,342000.0,430000.0,437500.0
98022,3~4,80000.0,69250.0,69000.0,74750.0,86000.0,87500.0,84000.0,110250.0,117000.0,117976.5,124880.0,138250.0,148500.0,143000.0,145250.0,150000.0,156750.0,174925.0,182000.0,197500.0,200000.0,223725.0,237525.0,282000.0,296225.0,333174.0,299000.0,255000.0,255000.0,240000.0,250000.0,240450.0,270735.5,297750.0,339400.0,361950.0,380000.0,431475.0,456500.0,549000.0,615000.0
98022,5~,120000.0,150000.0,93500.0,114750.0,84750.0,122500.0,116450.0,122500.0,104750.0,217500.0,170917.0,189000.0,180000.0,170000.0,170800.0,183500.0,162000.0,246150.0,287330.0,293000.0,288975.0,285500.0,379000.0,363750.0,435000.0,622475.0,415000.0,412275.0,303000.0,252500.0,298500.0,437500.0,296000.0,380000.0,448500.0,539900.0,420000.0,800000.0,555000.0,722500.0,725000.0
98023,0~2,59500.0,98475.0,66975.0,56500.0,65000.0,48000.0,77791.5,77000.0,141300.0,85950.0,98750.0,108225.0,106700.0,108194.0,110000.0,107000.0,113250.0,136000.0,149000.0,158900.0,160500.0,161735.0,196995.0,207975.0,259425.0,265000.0,306500.0,215100.0,182475.0,144950.0,142500.0,178000.0,205450.0,216500.0,246500.0,260000.0,296000.0,309250.0,350000.0,460000.0,
98023,3~4,82875.0,81225.0,79990.0,80000.0,83975.0,93000.0,98950.0,106400.0,134900.0,146500.0,131000.0,134950.0,136700.0,136500.0,144950.0,149500.0,157200.0,167500.0,177875.0,185475.0,195000.0,211000.0,235500.0,268690.0,302630.0,325000.0,299450.0,250000.0,240000.0,195500.0,194500.0,225000.0,246000.0,275000.0,311050.0,350000.0,375000.0,400000.0,445000.0,545000.0,609000.0
98023,5~,109000.0,90000.0,108500.0,94750.0,120000.0,113750.0,114900.0,120000.0,158000.0,176055.0,162350.5,179990.0,167000.0,166000.0,165750.0,169000.0,218950.0,204500.0,233100.0,239250.0,238000.0,274900.0,325000.0,348750.0,409900.0,372000.0,389750.0,300000.0,309900.0,230000.0,274000.0,294500.0,294000.0,343350.0,370000.0,421500.0,468000.0,460000.0,530000.0,680000.0,817500.0
98024,0~2,60000.0,49000.0,74750.0,40250.0,80000.0,49000.0,70000.0,96650.0,147250.0,91900.0,116925.0,129450.0,130000.0,141000.0,149000.0,153000.0,148504.0,164250.0,215000.0,257000.0,207500.0,191725.0,231475.0,282500.0,399000.0,313000.0,278500.0,344250.0,225000.0,327500.0,247500.0,310000.0,335000.0,345000.0,487500.0,453822.0,505000.0,385000.0,542500.0,760367.5,550000.0
98024,3~4,77500.0,72000.0,85250.0,100000.0,76000.0,94500.0,92250.0,135000.0,155750.0,163250.0,165000.0,203000.0,194975.0,216750.0,210000.0,239900.0,247450.0,276000.0,335000.0,296000.0,358750.0,334500.0,434075.0,499250.0,480000.0,552250.0,500000.0,469900.0,495000.0,403875.0,410000.0,455000.0,447500.0,501000.0,599950.0,650000.0,695000.0,800000.0,900000.0,970000.0,1265000.0
98024,5~,,375000.0,170000.0,145000.0,,130000.0,465000.0,182000.0,230000.0,,160000.0,209000.0,181000.0,422500.0,165000.0,600000.0,285000.0,380000.0,468220.0,434000.0,1350000.0,471000.0,594500.0,605000.0,723500.0,1612500.0,749975.0,,522500.0,762500.0,395000.0,570000.0,1142500.0,762150.0,1175000.0,1425000.0,865000.0,1962500.0,980000.0,1112500.0,
98025,3~4,,,,,,,,,,,,,,,,,,,,,,,,,865614.0,,,,,,,,,,,,,,,,
98026,5~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437000.0,,,,,,
98027,0~2,53750.0,116500.0,67732.5,49975.0,72868.0,68000.0,112000.0,133010.5,137000.0,178000.0,137750.0,137500.0,129000.0,139950.0,154750.0,153000.0,183750.0,204000.0,228500.0,250000.0,250000.0,224000.0,329032.0,320450.0,380450.0,425000.0,402500.0,425000.0,335000.0,260000.0,275000.0,249000.0,367500.0,368000.0,453250.0,528000.0,503504.0,570000.0,605000.0,812500.0,800000.0
98027,3~4,118975.0,115750.0,115000.0,109975.0,122675.0,131300.0,134000.0,161000.0,216000.0,200000.0,197500.0,199950.0,225000.0,229500.0,247000.0,251000.0,280900.0,311500.0,319000.0,328000.0,341450.0,375000.0,430385.0,470550.0,590000.0,630000.0,585000.0,483500.0,517000.0,435000.0,470000.0,507450.0,571000.0,605000.0,660000.0,751000.0,839250.0,802500.0,885000.0,1100000.0,1450000.0
98027,5~,90210.0,129000.0,148000.0,129450.0,128000.0,139500.0,125600.0,165000.0,227887.5,224750.0,213750.0,223150.0,247750.0,279975.0,257000.0,299950.0,298700.0,366700.0,420000.0,339950.0,396750.0,464000.0,524900.0,500000.0,665000.0,668725.0,660000.0,650000.0,559995.0,585000.0,524500.0,597044.0,632000.0,770000.0,784875.0,925000.0,1040000.0,995000.0,1120000.0,1425000.0,1510000.0
98028,0~2,65000.0,62975.0,52950.0,178500.0,67000.0,68500.0,95975.0,94000.0,119000.0,75000.0,113950.0,126000.0,138000.0,124500.0,132000.0,147500.0,187500.0,200000.0,225000.0,182500.0,205000.0,224250.0,249500.0,314950.0,347750.0,344500.0,281000.0,264625.0,237000.0,199950.0,262500.0,257000.0,272925.0,371001.0,368000.0,562000.0,593000.0,440300.0,549000.0,683500.0,790000.0
98028,3~4,88750.0,80000.0,82575.0,87000.0,84975.0,95000.0,103975.0,131250.0,166500.0,158500.0,154200.0,158950.0,180000.0,173250.0,177950.0,185000.0,211000.0,222000.0,244990.0,261831.0,269900.0,298900.0,334250.0,386975.0,425000.0,439900.0,421725.0,359000.0,358000.0,340000.0,339000.0,378300.0,415000.0,468000.0,525000.0,634400.0,675000.0,639000.0,770000.0,899998.0,977500.0
98028,5~,164975.0,146325.0,94750.0,92995.0,93000.0,104500.0,134000.0,156000.0,146000.0,144997.0,205000.0,180000.0,176250.0,180500.0,192000.0,238500.0,244475.0,257747.5,285995.0,332800.0,340975.0,345000.0,409975.0,449950.0,492500.0,575000.0,605000.0,490000.0,384075.0,450500.0,443475.0,444750.0,482500.0,595000.0,627500.0,689950.0,737500.0,800000.0,936000.0,1270000.0,1275000.0
98029,0~2,,,,,92225.0,,,112600.0,369000.0,177000.0,176725.0,173900.0,191500.0,183500.0,276700.0,209950.0,215000.0,213000.0,222000.0,275000.0,310000.0,318900.0,341990.0,380995.0,475000.0,499000.0,400000.0,398000.0,410000.0,322500.0,375000.0,436000.0,489000.0,496500.0,616000.0,430000.0,720000.0,589500.0,836500.0,970000.0,
