ZipCode,Condition,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
98003,5,59750.0,74500.0,64000.0,76450.0,74000.0,90750.0,145000.0,82750.0,147697.0,123250.0,133500.0,121500.0,106500.0,121250.0,127475.0,134706.5,134999.0,149975.0,170500.0,174250.0,189500.0,196550.0,224500.0,261775.0,276000.0,300000.0,269000.0,192500.0,227608.0,159000.0,170000.0,185900.0,235000.0,265000.0,300000.0,340000.0,362225.0,399995.0,418200.0,537500.0,615000.0
98004,1,,,,,,,,,,,,,,,,,,,,,1275000.0,,1672500.0,,,2145000.0,,,,,,,,,1000000.0,2000000.0,,,,,
98004,2,,,,,,204000.0,,587500.0,,,,,,140000.0,714000.0,41667.0,244500.0,229000.0,369000.0,449500.0,379000.0,,430000.0,457000.0,4000000.0,,,1050000.0,,512500.0,,,,,,,,1750000.0,,6737500.0,
98004,3,94406.0,120250.0,90000.0,142916.5,136500.0,131600.0,162450.0,240000.0,367500.0,233887.0,251500.0,289750.0,292500.0,318000.0,317500.0,381000.0,393500.0,472450.0,565000.0,571250.0,559000.0,593000.0,755978.5,942500.0,1250000.0,1500000.0,1490000.0,1080000.0,1040750.0,928000.0,1066000.0,1155500.0,1432500.0,1740500.0,1940000.0,2200000.0,2625000.0,2465000.0,2469000.0,3114500.0,4643000.0
98004,4,91500.0,118000.0,142500.0,147500.0,154200.0,156000.0,146000.0,187500.0,365000.0,194500.0,270000.0,279500.0,258500.0,254500.0,300000.0,374420.0,440000.0,394044.0,423750.0,485000.0,423000.0,555350.0,635000.0,722500.0,860000.0,963100.0,1030000.0,734000.0,660000.0,662500.0,815000.0,1083500.0,1058000.0,1319500.0,1698000.0,1480000.0,2000000.0,1535000.0,2105000.0,2050000.0,3050000.0
98004,5,112500.0,285000.0,153475.0,183975.0,120000.0,141000.0,232000.0,187500.0,239500.0,535000.0,227500.0,235000.0,250000.0,301250.0,385000.0,366500.0,319925.0,470000.0,502500.0,451000.0,517260.0,563000.0,630000.0,772000.0,1011375.0,1101000.0,1100000.0,800000.0,945000.0,610000.0,895000.0,896000.0,1025000.0,1375000.0,1600000.0,1580000.0,2180000.0,2000000.0,2250000.0,2487500.0,3220000.0
98005,1,,,,,,,,,,,,,,,333000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
98005,2,,,,,,,,,,,153000.0,,,,,192000.0,255000.0,1550000.0,,,,,,,4000000.0,,,,,,,,,,,,,,,,
98005,3,105000.0,128500.0,113500.0,125000.0,129000.0,120250.0,139900.0,189000.0,228750.0,215000.0,208500.0,207500.0,220000.0,300000.0,237250.0,291000.0,352500.0,370833.5,399344.0,390000.0,450500.0,513500.0,610000.0,691450.0,795000.0,847500.0,643000.0,644385.0,707475.0,704000.0,732500.0,750000.0,758825.0,838100.0,920000.0,1223000.0,1250000.0,1452500.0,1530000.0,1920000.0,2450000.0
98005,4,89500.0,131500.0,125500.0,137500.0,137500.0,134925.0,149900.0,150250.0,225000.0,320000.0,198000.0,216500.0,200600.0,222000.0,224950.0,274000.0,311500.0,336500.0,401000.0,350000.0,372500.0,424750.0,459000.0,537000.0,654750.0,660000.0,599000.0,504500.0,525000.0,510000.0,612500.0,666500.0,755000.0,785000.0,950000.0,984000.0,1200000.0,1240000.0,1362500.0,1645000.0,1732500.0
