Date_3Mo,Close
2012-01-01,58.67
2012-04-01,55.970001
2012-07-01,55.82
2012-10-01,59.010000500000004
2013-01-01,56.030001
2013-04-01,47.49
2013-07-01,44.77
2013-10-01,42.8450015
2014-01-01,43.330002
2014-04-01,43.299999
2014-07-01,43.08
2014-10-01,39.7000005
2015-01-01,39.939999
2015-04-01,39.279999
2015-07-01,36.875
2015-10-01,35.4750005
2016-01-01,39.799999
2016-04-01,41.075001
2016-07-01,43.360001000000004
2016-10-01,39.439999
2017-01-01,39.3299995
2017-04-01,40.240002000000004
2017-07-01,40.869999
2017-10-01,40.650002
2018-01-01,42.009997999999996
2018-04-01,41.164998999999995
2018-07-01,37.950001
2018-10-01,38.490002000000004
2019-01-01,40.130001
2019-04-01,39.580002
2019-07-01,45.674999
2019-10-01,44.9700015
2020-01-01,46.754999
2020-04-01,50.98
2020-07-01,56.8149985
2020-10-01,54.895000499999995
2021-01-01,52.09
2021-04-01,51.5
2021-07-01,51.665001000000004
2021-10-01,51.265001500000004
2022-01-01,53.02499949999999
