Date_3Mo,Close
2012-01-01,63.2649995
2012-04-01,64.160004
2012-07-01,67.220001
2012-10-01,65.36999850000001
2013-01-01,67.34
2013-04-01,71.9500005
2013-07-01,76.0600015
2013-10-01,83.0399975
2014-01-01,88.510002
2014-04-01,88.32
2014-07-01,97.31500249999999
2014-10-01,102.119999
2015-01-01,105.339996
2015-04-01,109.059998
2015-07-01,107.6749995
2015-10-01,112.695
2016-01-01,104.07
2016-04-01,108.244999
2016-07-01,116.6350025
2016-10-01,118.360001
2017-01-01,129.2699965
2017-04-01,138.149994
2017-07-01,143.96000700000002
2017-10-01,153.690002
2018-01-01,165.699997
2018-04-01,168.364998
2018-07-01,181.059998
2018-10-01,167.5
2019-01-01,171.169998
2019-04-01,184.929993
2019-07-01,190.324997
2019-10-01,201.48499299999997
2020-01-01,218.1600035
2020-04-01,226.86000099999998
2020-07-01,270.4150085
2020-10-01,292.324997
2021-01-01,318.609985
2021-04-01,336.51001
2021-07-01,367.4349975
2021-10-01,389.710007
2022-01-01,351.81498750000003
