ds,SPY
2022-04,487.0597672236265
2022-05,493.87645508445894
2022-06,503.65548394690563
2022-07,513.606891810824
2022-08,520.6807551316158
2022-09,527.2365820601974
2022-10,531.5749216608282
2022-11,543.8412714585633
2022-12,550.9768549808662
