Date_3Mo,Close
2012-01-01,135.360001
2012-04-01,135.479996
2012-07-01,140.78999299999998
2012-10-01,142.1349945
2013-01-01,151.4749985
2013-04-01,161.3199995
2013-07-01,168.58999599999999
2013-10-01,178.120003
2014-01-01,184.179993
2014-04-01,188.880005
2014-07-01,197.8499985
2014-10-01,203.25
2015-01-01,206.100006
2015-04-01,210.5
2015-07-01,206.754997
2015-10-01,205.774994
2016-01-01,193.66000400000001
2016-04-01,207.8600005
2016-07-01,216.6449965
2016-10-01,217.86999500000002
2017-01-01,233.7149965
2017-04-01,239.69999700000002
2017-07-01,246.899994
2017-10-01,258.450012
2018-01-01,273.109985
2018-04-01,270.970001
2018-07-01,285.070007
2018-10-01,271.890015
2019-01-01,274.459991
2019-04-01,288.570007
2019-07-01,297.1800075
2019-10-01,309.324997
2020-01-01,323.5700075
2020-04-01,292.5
2020-07-01,332.5849915
2020-10-01,356.475006
2021-01-01,387.02999900000003
2021-04-01,417.609985
2021-07-01,441.27499400000005
2021-10-01,463.2099915
2022-01-01,444.0950015
