zipcode,year,median_income
98058,2021,95557.9165
98058,2022,98979.6579
98059,2021,108559.6711
98059,2022,111347.379
98065,2021,147576.3062
98065,2022,150832.6124
98070,2021,82473.2757
98070,2022,84898.8287
98072,2021,115866.3898
98072,2022,117725.4593
98074,2021,201463.4538
98074,2022,216002.9721
98075,2021,186070.9467
98075,2022,193496.1183
98077,2021,178028.8417
98077,2022,189945.7016
98092,2021,97811.1121
98092,2022,102977.7033
98101,2021,87030.8294
98101,2022,93271.8962
98102,2021,96239.0669
98102,2022,100749.9727
98103,2021,112194.2634
98103,2022,119161.2111
98104,2021,61837.3202
98104,2022,70687.3256
98105,2021,65846.2477
98105,2022,69633.5074
98106,2021,72968.6875
98106,2022,76742.8595
98107,2021,105351.032
98107,2022,111823.8329
98108,2021,64568.0
98108,2022,67589.0001
98109,2021,111782.6869
98109,2022,116929.5796
98112,2021,121921.6909
98112,2022,125337.2235
98115,2021,116803.3729
98115,2022,121665.5893
98116,2021,132334.5391
98116,2022,144161.4256
98117,2021,124089.1728
98117,2022,131058.1155
98118,2021,92123.0213
98118,2022,102038.9286
98119,2021,101569.0561
98119,2022,107126.0904
98121,2021,127766.1378
98121,2022,138017.9
98122,2021,84149.0242
98122,2022,88654.8189
98125,2021,75680.9859
98125,2022,81013.1938
98126,2021,93843.4503
98126,2022,100790.3222
98133,2021,73671.9763
98133,2022,78483.3735
98134,2021,94467.3709
98134,2022,106022.9447
98136,2021,117719.7344
98136,2022,123578.6957
98144,2021,82078.9868
98144,2022,85718.788
98146,2021,89897.7156
98146,2022,101069.8404
98148,2021,65881.716
98148,2022,70661.282
98154,2021,-1.0
98154,2022,-1.0
98155,2021,100210.5282
98155,2022,106970.767
98158,2021,-1.0
98158,2022,-1.0
98164,2021,154183.1418
98164,2022,134712.3744
98166,2021,88439.6268
98166,2022,93013.8675
98168,2021,61520.2237
98168,2022,63917.4255
98174,2021,-1.0
98174,2022,-1.0
98177,2021,137733.036
98177,2022,151817.3461
98178,2021,85076.5448
98178,2022,89843.6497
98188,2021,65013.24
98188,2022,69234.5444
