zipcode,year,median_income
78648,2014,45052
78650,2014,54514
78652,2014,70868
78653,2014,62415
78654,2014,47171
78655,2014,44875
78656,2014,38551
78659,2014,68989
78660,2014,75138
78661,2014,48542
78662,2014,75750
78664,2014,61673
78665,2014,85048
78666,2014,33819
78669,2014,79850
78676,2014,69485
78681,2014,96086
78701,2014,87306
78702,2014,37690
78703,2014,81903
78704,2014,52306
78705,2014,12786
78712,2014,-1
78717,2014,99541
78719,2014,38875
78721,2014,36698
78722,2014,54526
78723,2014,42615
78724,2014,36776
78725,2014,65048
78726,2014,68777
78727,2014,69699
78728,2014,49521
78729,2014,60567
78730,2014,108421
78731,2014,79315
78732,2014,128397
78733,2014,127250
78734,2014,92904
78735,2014,81152
78736,2014,86439
78737,2014,122886
78738,2014,127683
78739,2014,130199
78741,2014,31192
78742,2014,35700
78744,2014,41331
78745,2014,52949
78746,2014,128556
78747,2014,62243
78748,2014,68835
78749,2014,84954
78750,2014,73659
78751,2014,41279
78752,2014,37396
78753,2014,39228
78754,2014,53040
78756,2014,63750
78757,2014,60856
78758,2014,44476
78759,2014,70095
78953,2014,44589
78957,2014,39746
76527,2015,50625
76530,2015,48333
76537,2015,59826
76573,2015,31136
76574,2015,43095
76578,2015,62500
78602,2015,55492
78605,2015,61350
78608,2015,56856
78610,2015,74250
78611,2015,45146
78612,2015,63573
78613,2015,84556
78615,2015,45179
78616,2015,51950
78617,2015,45995
78619,2015,101429
78620,2015,91406
78621,2015,55000
78622,2015,49038
78626,2015,58823
78628,2015,80131
78633,2015,73202
78634,2015,75317
78640,2015,65464
78641,2015,77052
78641,2015,77052
78642,2015,74688
78644,2015,50481
78645,2015,71076
78648,2015,43876
78650,2015,55192
78652,2015,73194
78653,2015,62198
78654,2015,47914
78655,2015,45543
78656,2015,39172
78659,2015,67208
78660,2015,76368
78661,2015,49250
78662,2015,77603
78664,2015,62446
78665,2015,85990
78666,2015,34240
78669,2015,77396
78676,2015,68119
78681,2015,96100
