zipcode,year,median_income
98014,2015,98011
98019,2015,96630
98022,2015,62842
98023,2015,72303
98024,2015,112308
98027,2015,102025
98028,2015,90588
98029,2015,100725
98030,2015,52713
98031,2015,67793
98032,2015,49591
98033,2015,105449
98034,2015,81694
98038,2015,96134
98039,2015,174063
98040,2015,126106
98042,2015,89352
98042,2015,89352
98045,2015,93380
98047,2015,55601
98050,2015,-1
98051,2015,84096
98052,2015,106468
98053,2015,120970
98055,2015,61736
98056,2015,73330
98057,2015,42775
98058,2015,82134
98059,2015,93918
98065,2015,120814
98070,2015,71820
98072,2015,106545
98074,2015,145262
98075,2015,150301
98077,2015,137900
98092,2015,74144
98101,2015,51159
98102,2015,75155
98103,2015,81330
98104,2015,32568
98105,2015,49647
98106,2015,53848
98107,2015,77170
98108,2015,53143
98109,2015,85957
98112,2015,103816
98115,2015,92039
98116,2015,77781
98117,2015,92316
98118,2015,55725
98119,2015,73794
98121,2015,73874
98122,2015,60563
98125,2015,54561
98126,2015,68342
98133,2015,53836
98134,2015,52981
98136,2015,90625
98144,2015,62633
98146,2015,58429
98148,2015,46871
98154,2015,-1
98155,2015,75839
98158,2015,-1
98164,2015,85670
98166,2015,66323
98168,2015,49188
98174,2015,-1
98177,2015,92938
98178,2015,60839
98188,2015,42965
98195,2015,-1
98198,2015,55845
98199,2015,87486
98224,2015,34861
98288,2015,29063
98001,2016,73782
98002,2016,47184
98003,2016,48724
98004,2016,108905
98005,2016,96767
98006,2016,120649
98007,2016,85524
98008,2016,87536
98010,2016,73302
98011,2016,82702
98014,2016,99125
98019,2016,105399
98022,2016,66094
98023,2016,74097
98024,2016,117159
98027,2016,105668
98028,2016,93227
98029,2016,104620
98030,2016,55797
98031,2016,69954
98032,2016,49278
98033,2016,110688
98034,2016,85849
98038,2016,96435
98039,2016,182604
98040,2016,129348
98042,2016,91525
98042,2016,91525
98045,2016,96779
98047,2016,51962
98050,2016,-1
98051,2016,85179
98052,2016,111129
98053,2016,123393
98055,2016,64055
98056,2016,75695
98057,2016,42540
98058,2016,81637
98059,2016,95717
98065,2016,127154
98070,2016,69364
98072,2016,108906
98074,2016,156147
98075,2016,159000
98077,2016,132334
98092,2016,75383
98101,2016,63299
98102,2016,77356
98103,2016,84069
98104,2016,34022
98105,2016,51631
98106,2016,55718
98107,2016,81808
98108,2016,53411
98109,2016,90834
98112,2016,113843
98115,2016,97039
98116,2016,87305
98117,2016,95721
98118,2016,56745
98119,2016,79053
98121,2016,86546
98122,2016,65339
98125,2016,58374
98126,2016,70809
98133,2016,54707
98134,2016,52039
98136,2016,100684
98144,2016,66982
98146,2016,60137
98148,2016,47780
98154,2016,-1
98155,2016,77999
98158,2016,-1
98164,2016,147768
98166,2016,66435
98168,2016,50680
98174,2016,-1
98177,2016,96456
98178,2016,63921
98188,2016,45428
98195,2016,-1
98198,2016,57884
98199,2016,93189
98224,2016,32917
98288,2016,36771
98001,2017,77083
98002,2017,51086
98003,2017,53023
98004,2017,117321
98005,2017,101134
98006,2017,126601
98007,2017,87207
98008,2017,95783
98010,2017,90233
98011,2017,86490
98014,2017,99769
98019,2017,120371
98022,2017,65296
98023,2017,75824
98024,2017,129053
98027,2017,108565
98028,2017,96277
98029,2017,112833
98030,2017,58666
98031,2017,73688
98032,2017,51696
98033,2017,117653
98034,2017,93520
98038,2017,99098
98039,2017,186484
98040,2017,136644
98042,2017,94770
98042,2017,94770
98045,2017,101078
98047,2017,54022
98050,2017,134880
98051,2017,87283
98052,2017,117303
98053,2017,123548
98055,2017,68638
98056,2017,78525
98057,2017,44291
98058,2017,85717
98059,2017,97407
98065,2017,133481
98070,2017,77724
98072,2017,110302
98074,2017,160618
98075,2017,163409
98077,2017,144193
98092,2017,81211
98101,2017,68750
98102,2017,83403
98103,2017,91740
98104,2017,37610
98105,2017,56015
98106,2017,62726
98107,2017,83581
98108,2017,55314
98109,2017,95719
98112,2017,110051
98115,2017,100794
98116,2017,100711
98117,2017,102519
98118,2017,62504
98119,2017,85171
98121,2017,94813
98122,2017,72018
98125,2017,61014
98126,2017,73698
98133,2017,60409
98134,2017,58125
98136,2017,97673
98144,2017,71628
98146,2017,61160
98148,2017,53342
98154,2017,-1
98155,2017,81405
98158,2017,-1
98164,2017,259999
98166,2017,76658
98168,2017,53992
98174,2017,-1
98177,2017,100036
98178,2017,72478
98188,2017,50231
98195,2017,-1
98198,2017,59843
98199,2017,103309
98224,2017,33958
98288,2017,38906
98001,2018,82581
98002,2018,54309
98003,2018,57185
98004,2018,125190
98005,2018,113707
98006,2018,135836
98007,2018,93534
98008,2018,104250
98010,2018,106438
98011,2018,95896
98014,2018,105877
98019,2018,126250
98022,2018,69206
98023,2018,77177
98024,2018,130725
98027,2018,110156
98028,2018,105007
98029,2018,120533
98030,2018,60823
98031,2018,77788
98032,2018,59717
98033,2018,125407
98034,2018,98683
98038,2018,105462
98039,2018,192120
98040,2018,142413
98042,2018,99727
98042,2018,99727
98045,2018,106368
98047,2018,60407
98050,2018,137165
98051,2018,89724
98052,2018,125287
98053,2018,134272
98055,2018,70647
98056,2018,85178
98057,2018,51439
98058,2018,89608
98059,2018,102775
98065,2018,139829
98070,2018,80144
98072,2018,110375
98074,2018,170744
98075,2018,171840
98077,2018,153807
98092,2018,88529
98101,2018,74394
98102,2018,87425
98103,2018,99048
98104,2018,43601
98105,2018,57417
98106,2018,65781
98107,2018,93943
98108,2018,58526
98109,2018,102292
98112,2018,115265
98115,2018,108069
98116,2018,107276
98117,2018,111220
98118,2018,72545
98119,2018,90994
98121,2018,111606
98122,2018,74598
98125,2018,64429
98126,2018,80142
98133,2018,64001
98134,2018,74773
98136,2018,106240
98144,2018,74688
98146,2018,67556
98148,2018,56044
98154,2018,-1
98155,2018,86525
98158,2018,-1
98164,2018,155391
98166,2018,79623
98168,2018,56885
98174,2018,-1
98177,2018,109571
98178,2018,75282
98188,2018,57191
98195,2018,-1
98198,2018,63284
98199,2018,108328
98224,2018,41250
98288,2018,42500
98001,2019,90287
98002,2019,57317
98003,2019,59391
98004,2019,134580
98005,2019,120913
98006,2019,144247
98007,2019,96545
98008,2019,117775
98010,2019,123415
98011,2019,98268
98014,2019,112384
98019,2019,139831
98022,2019,76929
98023,2019,79434
98024,2019,141475
98027,2019,113047
98028,2019,110058
98029,2019,129185
98030,2019,64666
98031,2019,83324
98032,2019,63562
98033,2019,133744
98034,2019,101674
98038,2019,111689
98039,2019,212337
98040,2019,147566
98042,2019,104306
98042,2019,104306
98045,2019,112568
98047,2019,59464
98050,2019,139161
98051,2019,87500
98052,2019,135287
98053,2019,145453
98055,2019,76765
98056,2019,85451
98057,2019,57172
98058,2019,92225
98059,2019,105872
98065,2019,144320
98070,2019,78966
98072,2019,117704
98074,2019,188900
98075,2019,178697
98077,2019,166400
98092,2019,92376
98101,2019,80389
98102,2019,91466
98103,2019,105177
98104,2019,53407
98105,2019,62582
98106,2019,69110
98107,2019,100178
98108,2019,61547
98109,2019,106393
98112,2019,118305
98115,2019,111569
98116,2019,121208
98117,2019,116871
98118,2019,82216
98119,2019,96768
98121,2019,115323
98122,2019,79609
98125,2019,70744
98126,2019,86983
98133,2019,68994
98134,2019,83472
98136,2019,113750
98144,2019,78414
98146,2019,78750
98148,2019,61455
98154,2019,-1
98155,2019,94054
98158,2019,-1
98164,2019,157829
98166,2019,83615
98168,2019,59120
98174,2019,-1
98177,2019,123672
98178,2019,80283
98188,2019,60586
98195,2019,-1
98198,2019,66906
98199,2019,114551
98224,2019,43750
98288,2019,46500
98001,2020,88962
98002,2020,59097
98003,2020,59560
98004,2020,142173
98005,2020,135225
98006,2020,156382
98007,2020,101847
98008,2020,131952
98010,2020,125652
98011,2020,103421
98014,2020,118808
98019,2020,142064
98022,2020,90223
98023,2020,82566
98024,2020,158168
98027,2020,121620
98028,2020,115093
98029,2020,134424
98030,2020,71014
98031,2020,82241
98032,2020,62620
98033,2020,137378
98034,2020,100955
98038,2020,114804
98039,2020,185163
98040,2020,150506
98042,2020,105166
98042,2020,105166
98045,2020,111767
98047,2020,64942
98050,2020,142316
98051,2020,94453
98052,2020,136208
98053,2020,151525
98055,2020,80586
98056,2020,95074
98057,2020,57598
98058,2020,92216
98059,2020,109565
98065,2020,150015
98070,2020,78368
98072,2020,127724
98074,2020,196146
98075,2020,188500
98077,2020,160441
98092,2020,96121
98101,2020,91550
98102,2020,97374
98103,2020,105480
98104,2020,58018
98105,2020,67449
98106,2020,74608
98107,2020,102436
98108,2020,62530
98109,2020,107330
98112,2020,122388
98115,2020,117038
98116,2020,121967
98117,2020,131508
98118,2020,85541
98119,2020,93014
98121,2020,118270
